disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,dcc,damageCategory,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,hash,lastRefresh,id
1361,2001-03-01T05:00:00.000Z,Earthquake,41,EMERGENCY PROTECTIVE MEASURES & EOC OPERATION,033-57745-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,7845,5883.75,6180.29,2001-08-18T23:02:59.000Z,83c1af6b0666638f3f8d0ca70479c66c9f5f4398,2021-07-14T16:34:13.248Z,5ee75989556129600dd5eabb
1361,2001-03-01T05:00:00.000Z,Earthquake,45,EMERGENCY PROTECTIVE MEASURES,033-U9PBI-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,13350.26,10012.7,10517.34,2001-08-07T01:44:31.000Z,1fc592713a216c06b536c3fe937c91e7dfd8892d,2021-07-14T16:34:13.250Z,5ee75989556129600dd5eabe
1361,2001-03-01T05:00:00.000Z,Earthquake,47,PAVILION BUILDING,033-57745-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,9548,7161,7521.91,2001-08-18T23:02:59.000Z,58436cba6ebbb9fe34e359be31b39d273d0a8724,2021-07-14T16:34:13.251Z,5ee75989556129600dd5eac0
1361,2001-03-01T05:00:00.000Z,Earthquake,52,MANADATORY HEALTH & SAFETY & REPAIRS,033-57745-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,8566.79,6425.09,6748.93,2001-08-18T23:02:59.000Z,cd363443807338ea7bfe2325d480c289ce1fab46,2021-07-14T16:34:13.253Z,5ee75989556129600dd5eac5
1361,2001-03-01T05:00:00.000Z,Earthquake,73,DEBRIS/MUD REMOVAL,033-08850-00,A - Debris Removal,A,Debris Removal,Small,King,33,Washington,WA,53,2292,1719,1805.63,2001-08-18T23:02:59.000Z,64b0f5289dd1da05f2d8f38bd4bcadc4e6c9e5ca,2021-07-14T16:34:13.266Z,5ee75989556129600dd5ead7
1361,2001-03-01T05:00:00.000Z,Earthquake,75,SEAHURST PARK CATCH BASIN REPAIR,033-08850-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,3014.24,2260.68,2362.87,2001-11-21T04:17:49.000Z,abec1c552b83c2b5e0da409ae790ac730b2706cf,2021-07-14T16:34:13.267Z,5ee75989556129600dd5ead9
1361,2001-03-01T05:00:00.000Z,Earthquake,118,RAINIER COLD STORAGE BLDG. TERMINAL 25,033-UP9A5-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,6709.54,5032.16,5338.12,2001-06-13T18:43:17.000Z,8bd646b5e108eaccb908d2a9b60205cb9e13005c,2021-07-14T16:34:13.285Z,5ee75989556129600dd5eafa
1361,2001-03-01T05:00:00.000Z,Earthquake,135,RESERVOIRS & BOOSTER PUMP STATION,033-45005-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1035,776.25,815.37,2001-08-07T01:44:31.000Z,a3c77ff6591445aab085fb615e421b8ce413efaa,2021-07-14T16:34:13.289Z,5ee75989556129600dd5eafd
1361,2001-03-01T05:00:00.000Z,Earthquake,136,"CITY HALL, NORTH FIRE STATION, SOUTH FIRE STATION",033-45005-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,4900,3675,3860.22,2001-08-07T01:44:31.000Z,534b7c92cb14ba6d55fa088f580e8c5478206349,2021-07-14T16:34:13.289Z,5ee75989556129600dd5eb02
1361,2001-03-01T05:00:00.000Z,Earthquake,151,EMERGENCY RESPONSE,033-45005-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1268.09,951.07,999,2001-08-07T01:44:31.000Z,88fbc5554b7d30beaa61fa1baddd46ae8202cc21,2021-07-14T16:34:13.299Z,5ee75989556129600dd5eb0f
1361,2001-03-01T05:00:00.000Z,Earthquake,141,"EMERGENCY PROTECTIVE MEASURES - 6"" WATER MAIN",033-45005-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1820.53,1365.4,1434.22,2001-08-07T01:44:31.000Z,2b1bf3f37eb18f895fcfdb323327b2116dc96dee,2021-07-14T16:34:13.293Z,5ee75989556129600dd5eb10
1361,2001-03-01T05:00:00.000Z,Earthquake,153,BUILDING DAMAGE - BUILDING 1-5,033-0727A-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,0,2001-10-04T02:59:50.000Z,0e89117fc5e9a9822da2afc576bd17f9ca0add10,2021-07-14T16:34:13.300Z,5ee75989556129600dd5eb12
1361,2001-03-01T05:00:00.000Z,Earthquake,178,BUILDING DAMAGE - SCHOOL BUILDING,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,2926.09,2194.57,2305.19,2001-08-07T01:44:31.000Z,92277c9b518f60d4d6d0a2408cc962e4a22a5558,2021-07-14T16:34:13.311Z,5ee75989556129600dd5eb27
1361,2001-03-01T05:00:00.000Z,Earthquake,179,BUILDING DAMAGE - MANN SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,125.23,2001-08-18T23:02:59.000Z,6f783aea126665609f7ff324c95444546c7cb86d,2021-07-14T16:34:13.311Z,5ee75989556129600dd5eb28
1361,2001-03-01T05:00:00.000Z,Earthquake,187,EMERGENCY PROTECTIVE MEASURES,033-0906D-00,B - Protective Measures,B,Protective Measures,Large,King,33,Washington,WA,53,498154.01,373615.51,384671.81,2001-07-21T04:07:16.000Z,3da5dc53d68cea543e15a1da708b15c49d46b61f,2021-07-14T16:34:13.317Z,5ee75989556129600dd5eb2f
1361,2001-03-01T05:00:00.000Z,Earthquake,206,WATER SYSTEM,033-U8GHW-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1932,1449,1522.03,2001-08-02T04:48:31.000Z,0bdc3074f8f985a36ee0295aa71f8301aab23f20,2021-07-14T16:34:13.328Z,5ee75989556129600dd5eb43
1361,2001-03-01T05:00:00.000Z,Earthquake,207,"ELEVATOR, CAB #1, 200 MILL BUILDING",033-57745-00,E - Public Buildings,E,Public Buildings,Large,King,33,Washington,WA,53,67506.05,50629.54,53146.49,2001-07-21T04:07:16.000Z,e75dbc4039d514cd14ea6b9a31e38aa0fd9aaf49,2021-07-14T16:34:13.329Z,5ee75989556129600dd5eb44
1361,2001-03-01T05:00:00.000Z,Earthquake,213,EMERGENCY PROTECTIVE MEASURES - EOC OPERATIONS,033-99033-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,22233.26,16674.95,17515.37,2001-07-21T04:07:16.000Z,1a6260d944ff8a838272e089a0e604b4876ddbbf,2021-07-14T16:34:13.331Z,5ee75989556129600dd5eb49
1361,2001-03-01T05:00:00.000Z,Earthquake,214,FIRE HYDRANT DAMAGE,033-U8GHW-00,F - Public Utilities,F,Public Utilities,Small,King,33,Washington,WA,53,1651.3,1238.48,1294.46,2002-03-21T04:36:59.000Z,e23a892a6e00dbc70eaa2f8169d87df65aeae25c,2021-07-14T16:34:13.331Z,5ee75989556129600dd5eb4b
1361,2001-03-01T05:00:00.000Z,Earthquake,215,BUILDING DAMAGE - MADRONA ELEMENTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,4985.04,3738.78,3927.21,2001-08-07T01:44:31.000Z,aa52ab06946a9f53d274bbea8414d8183803a066,2021-07-14T16:34:13.332Z,5ee75989556129600dd5eb4c
1361,2001-03-01T05:00:00.000Z,Earthquake,216,EMERGENCY PROTECTIVE MEASURES - SCHOOL BUILDINGS,033-004AD-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,19051.11,14288.33,14975.54,2001-07-21T04:07:16.000Z,3387391b6c786b21ba9b90b6ce7231e3becf831e,2021-07-14T16:34:13.332Z,5ee75989556129600dd5eb4d
1361,2001-03-01T05:00:00.000Z,Earthquake,223,EMERGENCY PROTECTIVE MEASURES - WATER SUPPLY,033-U9PBI-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,6469.7,4852.28,5096.83,2001-08-07T01:44:31.000Z,13694c59b2e521ab1807dc2b4cf497739ddb54a5,2021-07-14T16:34:13.336Z,5ee75989556129600dd5eb52
1361,2001-03-01T05:00:00.000Z,Earthquake,249,BUILDING DAMAGE - SACAJAWEA ELEMENTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,6571.58,4928.69,5177.09,2001-07-21T04:07:16.000Z,c79058633a65c9e01f9f714a89e5d01a7a054656,2021-07-14T16:34:13.352Z,5ee75989556129600dd5eb6e
1361,2001-03-01T05:00:00.000Z,Earthquake,250,DEBRIS REMOVAL - WATER MAIN & HYDRANT,033-U8GHW-00,A - Debris Removal,A,Debris Removal,Small,King,33,Washington,WA,53,4119,3089.25,3228.88,2002-03-21T04:36:59.000Z,632977e01b32118454b961c30b7d1700409436a5,2021-07-14T16:34:13.352Z,5ee75989556129600dd5eb6f
1361,2001-03-01T05:00:00.000Z,Earthquake,253,EMERGENCY PROTECTIVE MEASURES,033-U8GHW-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1368,1026,1077.71,2001-07-21T04:07:16.000Z,9b595e56e54c81b6a1aa09499384d1585a651be0,2021-07-14T16:34:13.354Z,5ee75989556129600dd5eb7d
1361,2001-03-01T05:00:00.000Z,Earthquake,272,PUBLIC UTILITIES-WEST POINT TREATMENT CENTER,033-99033-00,F - Public Utilities,F,Public Utilities,Small,King,33,Washington,WA,53,27051.04,20288.28,21197.1,2001-08-07T01:44:31.000Z,8a1c7f61e54472dcf358271ee5e1e979167a252d,2021-07-14T16:34:13.363Z,5ee75989556129600dd5eb85
1361,2001-03-01T05:00:00.000Z,Earthquake,284,BUILDING DAMAGE- DETOX CENTER,033-UK22V-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,2568.16,1926.12,2023.21,2001-08-07T01:44:31.000Z,9d88c4b019f8b3c65fe66dc4e4efde8de06befa8,2021-07-14T16:34:13.371Z,5ee75989556129600dd5eb90
1361,2001-03-01T05:00:00.000Z,Earthquake,288,EMERGENCY PROTECTIVE MEASURES,033-UK22V-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1069.76,802.32,842.76,2001-08-02T04:48:31.000Z,15bbe4ae3df67c641df7a97a6c41f296a440ac04,2021-07-14T16:34:13.372Z,5ee75989556129600dd5eb94
1361,2001-03-01T05:00:00.000Z,Earthquake,289,SHERIFFS OFFICE,033-99033-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,43735.87,32801.9,34013.38,2001-08-07T01:44:31.000Z,1d81067ea9ec4db12e6367d9a52f66ca5b7f07f5,2021-07-14T16:34:13.373Z,5ee75989556129600dd5eb95
1361,2001-03-01T05:00:00.000Z,Earthquake,296,BUILDING DAMAGE - ROXHILL ELEMENTARY,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,3282.3,2461.73,2585.81,2001-07-21T04:07:16.000Z,70ba29879a92145d3236584c9ff3311ba5333cad,2021-07-14T16:34:13.377Z,5ee75989556129600dd5eb9a
1361,2001-03-01T05:00:00.000Z,Earthquake,299,ALL GENERAL CITY FACILITIES,033-05210-00,A - Debris Removal,A,Debris Removal,Small,King,33,Washington,WA,53,4428.5,3321.38,3488.79,2001-07-10T03:32:24.000Z,809fb089cc0edc92bc8449ebc3b4dc515ffc5425,2021-07-14T16:34:13.379Z,5ee75989556129600dd5eb9d
1361,2001-03-01T05:00:00.000Z,Earthquake,300,FIRE DEPARTMENT,033-05210-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1731.75,1298.81,1364.26,2001-07-10T03:32:24.000Z,3b3c5d0797f1f6bd3fce5f11641ba5a3e065ef73,2021-07-14T16:34:13.379Z,5ee75989556129600dd5eb9e
1361,2001-03-01T05:00:00.000Z,Earthquake,302,COMMUNICATIONS CENTER,033-05210-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,2509.38,1882.04,1976.89,2001-07-10T03:32:24.000Z,444ce9a51496ea07da631bbeb3f3e0ac25444a37,2021-07-14T16:34:13.381Z,5ee75989556129600dd5eb9f
1361,2001-03-01T05:00:00.000Z,Earthquake,303,WATER,033-05210-00,F - Public Utilities,F,Public Utilities,Small,King,33,Washington,WA,53,10301.52,7726.14,8115.54,2001-07-10T03:32:24.000Z,634492080f49a41610bf407c5fd309f3c17de3df,2021-07-14T16:34:13.381Z,5ee75989556129600dd5eba0
1361,2001-03-01T05:00:00.000Z,Earthquake,306,GENESEE HILL ELEM,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1722.12,1291.59,1356.68,2001-07-21T04:07:16.000Z,497427b96da475c0e332b69dea04b21d717243f7,2021-07-14T16:34:13.384Z,5ee75989556129600dd5eba3
1361,2001-03-01T05:00:00.000Z,Earthquake,309,PROTECTIVE MEASURES- RESPONSE AND INSPECTIONS,033-UCGOU-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,3183.01,2387.26,2507.58,2001-08-18T23:02:59.000Z,1b14a1f91728f81f4d9a5e502cbc03dc22ea1dfa,2021-07-14T16:34:13.385Z,5ee75989556129600dd5eba6
1361,2001-03-01T05:00:00.000Z,Earthquake,301,PHANTOM LAKE PARK,033-05210-00,G - Recreational or Other,G,Recreational or Other,Small,King,33,Washington,WA,53,2552.1,1914.08,2010.55,2001-07-10T03:32:24.000Z,623dedac0b286bbb1ad016e497e1037a92aab2de,2021-07-14T16:34:13.380Z,5ee75989556129600dd5eba8
1361,2001-03-01T05:00:00.000Z,Earthquake,314,BUILDING DAMAGE - SCHMITZ PARK ELEMENTARY,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,3650.38,2737.79,2875.77,2001-07-21T04:07:16.000Z,cf22479176126bf8ebc7b3022cf51524a2c34921,2021-07-14T16:34:13.387Z,5ee75989556129600dd5ebac
1361,2001-03-01T05:00:00.000Z,Earthquake,318,BUILDING DAMAGE - LAFAYETTE ELEMEMTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,13663.89,10247.92,10764.42,2001-07-21T04:07:16.000Z,bf1785f0180a6a7e0c4e6340d93736f05b997b90,2021-07-14T16:34:13.389Z,5ee75989556129600dd5ebb0
