"FID_HRA_20","HRA2010v2_","Year","hh_size","tenure","estimate","moe","SE","CoV"
0,"Auburn-North",2010,0,"Total",13192.8268851552,0,0,0
0,"Auburn-North",2010,1,"Owner",1532.22744759142,0,0,0
0,"Auburn-North",2010,1,"Renter",1850.83755021454,0,0,0
0,"Auburn-North",2010,2,"Owner",2807.62105560984,0,0,0
0,"Auburn-North",2010,2,"Renter",1336.79995055862,0,0,0
0,"Auburn-North",2010,3,"Owner",1302.31065145574,0,0,0
0,"Auburn-North",2010,3,"Renter",802.41563995998,0,0,0
0,"Auburn-North",2010,4,"Owner",1256.38476876511,0,0,0
0,"Auburn-North",2010,4,"Renter",610.069418040066,0,0,0
0,"Auburn-North",2010,5,"Owner",564.305687025965,0,0,0
0,"Auburn-North",2010,5,"Renter",329.09970612915,0,0,0
0,"Auburn-North",2010,6,"Owner",446.297030007847,0,0,0
0,"Auburn-North",2010,7,"Owner",354.457979796919,0,0,0
0,"Auburn-North",2010,NA,"Owner",13192.8268851552,0,0,0
0,"Auburn-North",2014,0,"Total",13703.1662838296,918.371940271812,558.330495324315,0.0407446340327324
0,"Auburn-North",2014,1,"Owner",1686.51205790847,729.097330353354,443.259703116954,0.262826287566934
0,"Auburn-North",2014,1,"Renter",1871.05623670575,744.442542557541,452.588929713625,0.24188953855843
0,"Auburn-North",2014,2,"Owner",3159.22556509168,884.310369254915,537.622530518945,0.170175417817418
0,"Auburn-North",2014,2,"Renter",1459.76375276267,771.604266613941,469.102085420216,0.321354797673539
0,"Auburn-North",2014,3,"Owner",1405.38086579173,761.232639766079,462.796584020018,0.329303319324261
0,"Auburn-North",2014,3,"Renter",701.732432847596,561.234176976086,341.20615219499,0.486233977828832
0,"Auburn-North",2014,4,"Owner",1081.85523692057,640.074439792065,389.137628603685,0.359694731165085
0,"Auburn-North",2014,4,"Renter",581.551242234807,490.827979221976,298.402223261448,0.51311423927965
0,"Auburn-North",2014,5,"Owner",537.278798924625,420.735622037998,255.789095846649,0.476082615503564
0,"Auburn-North",2014,5,"Renter",469.00626720369,423.493615173499,257.465836615743,0.548960332984047
0,"Auburn-North",2014,6,"Owner",325.508176110472,337.812836248626,205.375621704844,0.630938442649571
0,"Auburn-North",2014,6,"Renter",59.5464651175284,169.940280909207,103.316354795757,1.73505437462726
0,"Auburn-North",2014,7,"Owner",191.025118522715,257.705853948903,156.674034531892,0.820175041604603
0,"Auburn-North",2014,7,"Renter",173.724067687326,291.266014496412,177.077163416806,1.01930127341662
0,"Auburn-North",2014,NA,"Owner",13703.1662838296,2208.94148512378,1342.94106717433,0.0980022455656155
0,"Auburn-North",2019,0,"Total",14837.5410064353,1108.84413308404,674.129366233728,0.045434035595342
0,"Auburn-North",2019,1,"Owner",1644.33187341477,782.003080222309,475.4241151972,0.28912905167367
0,"Auburn-North",2019,1,"Renter",2204.02589494475,923.125606597046,561.220519243371,0.254634267469639
0,"Auburn-North",2019,2,"Owner",3234.08850918889,946.171302299529,575.231307391855,0.177865047835726
0,"Auburn-North",2019,2,"Renter",1605.3937492445,845.986106220411,514.323032979134,0.320371892080168
0,"Auburn-North",2019,3,"Owner",1465.51322972044,756.29877828071,459.797009222282,0.31374470042143
0,"Auburn-North",2019,3,"Renter",697.724068972975,580.036650160685,352.637244224405,0.505410748898881
0,"Auburn-North",2019,4,"Owner",1298.21559521397,704.67012777409,428.409018424398,0.32999836082988
0,"Auburn-North",2019,4,"Renter",863.777116955831,677.991464898616,412.189543062982,0.477194330541705
0,"Auburn-North",2019,5,"Owner",708.675896824407,501.96842048485,305.175130637724,0.430627219022435
0,"Auburn-North",2019,5,"Renter",281.093675234156,353.151016947062,214.700573449556,0.763804355507844
0,"Auburn-North",2019,6,"Owner",259.778892977732,308.589015076457,187.608799968656,0.722186463334946
0,"Auburn-North",2019,6,"Renter",119.629619696663,258.094178661044,156.910119193639,1.31163268420902
0,"Auburn-North",2019,7,"Owner",186.916025358386,242.573686527773,147.474329966583,0.788987084889172
0,"Auburn-North",2019,7,"Renter",268.376858687825,339.8853782407,206.63563776835,0.769945809704507
0,"Auburn-North",2019,NA,"Owner",14837.5410064353,2550.02325040054,1550.30405661487,0.104485241587031
1,"Auburn-South",2010,0,"Total",8561.01459887594,0,0,0
1,"Auburn-South",2010,1,"Owner",1090.91669567939,0,0,0
1,"Auburn-South",2010,1,"Renter",1057.03870947883,0,0,0
1,"Auburn-South",2010,2,"Owner",1715.55031393746,0,0,0
1,"Auburn-South",2010,2,"Renter",965.438440820918,0,0,0
1,"Auburn-South",2010,3,"Owner",785.554035491678,0,0,0
1,"Auburn-South",2010,3,"Renter",651.075383740965,0,0,0
1,"Auburn-South",2010,4,"Owner",686.735647609121,0,0,0
1,"Auburn-South",2010,4,"Renter",505.415796938881,0,0,0
1,"Auburn-South",2010,5,"Owner",298.179494643896,0,0,0
1,"Auburn-South",2010,5,"Renter",270.541400588979,0,0,0
1,"Auburn-South",2010,6,"Owner",280.397117275966,0,0,0
1,"Auburn-South",2010,7,"Owner",254.171562669853,0,0,0
1,"Auburn-South",2010,NA,"Owner",8561.01459887594,0,0,0
1,"Auburn-South",2014,0,"Total",8969.88509424025,585.613909235161,356.027976982075,0.0396914757816338
1,"Auburn-South",2014,1,"Owner",1099.99991791562,450.720247911271,274.018453998624,0.24910770404225
1,"Auburn-South",2014,1,"Renter",1103.37643702754,523.208123432978,318.087953152815,0.288285976098724
1,"Auburn-South",2014,2,"Owner",1943.40902297072,599.13087446588,364.245708340804,0.187426169188005
1,"Auburn-South",2014,2,"Renter",888.10581971973,470.632247643384,286.124090272787,0.322173421139254
1,"Auburn-South",2014,3,"Owner",875.707062748696,462.38732358175,281.111532360923,0.321010922851943
1,"Auburn-South",2014,3,"Renter",805.792246990517,452.707549234246,275.226647414994,0.341560307191976
1,"Auburn-South",2014,4,"Owner",646.836270786676,367.611891786075,223.492161103354,0.345515814738628
1,"Auburn-South",2014,4,"Renter",521.468547968083,371.260891300301,225.710595287671,0.432836450380677
1,"Auburn-South",2014,5,"Owner",422.211893935191,282.773846697793,171.914291985895,0.407175388603059
1,"Auburn-South",2014,5,"Renter",168.277280352172,171.00066959593,103.961025342333,0.617795968206536
1,"Auburn-South",2014,6,"Owner",199.627775488351,211.77587968945,128.750592891326,0.644953301595242
1,"Auburn-South",2014,6,"Renter",131.864769238245,174.804287578752,106.273460880972,0.805927629456231
1,"Auburn-South",2014,7,"Owner",81.8748611181976,121.050116351953,73.5932452398842,0.898850321512513
1,"Auburn-South",2014,7,"Renter",81.3331879805215,138.903588700977,84.4473857278217,1.03828938499307
1,"Auburn-South",2014,NA,"Owner",8969.88509424025,1372.94426504353,834.6908457673,0.0930547980267074
1,"Auburn-South",2019,0,"Total",9433.40160646862,579.132116118293,352.087326573636,0.0373234747402469
1,"Auburn-South",2019,1,"Owner",1172.35515602263,446.283914658717,271.321354889096,0.231432730512816
1,"Auburn-South",2019,1,"Renter",1195.0844761594,536.059212291296,325.900860421735,0.272701107681586
1,"Auburn-South",2019,2,"Owner",1969.89557557026,566.781076767143,344.578427818894,0.174922179679064
1,"Auburn-South",2019,2,"Renter",1275.07383716163,615.974920602242,374.486161266443,0.293697627817434
1,"Auburn-South",2019,3,"Owner",886.438737873899,469.038457124984,285.155134438489,0.321686228562649
1,"Auburn-South",2019,3,"Renter",638.845860631629,421.341589836832,256.157498109868,0.40096917565781
1,"Auburn-South",2019,4,"Owner",857.391354627442,506.997087265681,308.232342962538,0.359500176085252
1,"Auburn-South",2019,4,"Renter",402.653900470613,351.738913730648,213.842075651772,0.531081594892879
1,"Auburn-South",2019,5,"Owner",205.849445083585,223.612997059938,135.947049266856,0.660419799585345
1,"Auburn-South",2019,5,"Renter",278.325344635372,269.771797939108,164.009607614202,0.589272988520208
1,"Auburn-South",2019,6,"Owner",163.863983533761,180.443773669966,109.702024978597,0.669470023936009
1,"Auburn-South",2019,6,"Renter",123.728396181962,203.453194686754,123.690759684087,0.999695813580098
1,"Auburn-South",2019,7,"Owner",82.4790758532331,140.758951993702,85.5753665173119,1.0375403171295
1,"Auburn-South",2019,7,"Renter",181.416462663209,240.56562243404,146.253513681882,0.806175534099097
1,"Auburn-South",2019,NA,"Owner",9433.40160646862,1557.36044904464,946.807924745871,0.100367604841146
2,"Ballard",2010,0,"Total",25299.370534533,0,0,0
2,"Ballard",2010,1,"Owner",4104.80103875845,0,0,0
2,"Ballard",2010,1,"Renter",5216.4321370043,0,0,0
2,"Ballard",2010,2,"Owner",5598.93335738817,0,0,0
2,"Ballard",2010,2,"Renter",3682.81162590724,0,0,0
2,"Ballard",2010,3,"Owner",2398.75561484163,0,0,0
2,"Ballard",2010,3,"Renter",1079.35068629362,0,0,0
2,"Ballard",2010,4,"Owner",2006.13017865859,0,0,0
2,"Ballard",2010,4,"Renter",462.941343882855,0,0,0
2,"Ballard",2010,5,"Owner",399.018748363848,0,0,0
2,"Ballard",2010,5,"Renter",153.57077410288,0,0,0
2,"Ballard",2010,6,"Owner",123.983218414755,0,0,0
2,"Ballard",2010,7,"Owner",72.6418109166325,0,0,0
2,"Ballard",2010,NA,"Owner",25299.370534533,0,0,0
2,"Ballard",2014,0,"Total",25813.2089318088,1290.59382854646,784.625335287984,0.0303962725967447
2,"Ballard",2014,1,"Owner",3882.3833744745,1346.93114605742,818.875992360356,0.21092095070884
2,"Ballard",2014,1,"Renter",5440.28413132278,1563.95981430766,950.820053943806,0.174773969703053
2,"Ballard",2014,2,"Owner",4928.57311227088,1370.50476676858,833.207736124607,0.169056584359098
2,"Ballard",2014,2,"Renter",4591.01605132226,1618.53913859469,984.001927025232,0.214332059837131
2,"Ballard",2014,3,"Owner",2301.22042378343,1160.8151507506,705.725501485515,0.306674447259266
2,"Ballard",2014,3,"Renter",1389.12376208965,1041.99216321863,633.486254427289,0.456032984040484
2,"Ballard",2014,4,"Owner",2044.08919122436,917.239810729679,557.642209434567,0.27280718073782
2,"Ballard",2014,4,"Renter",369.534899775509,413.954010030736,251.666168495459,0.681034913477306
2,"Ballard",2014,5,"Owner",590.983546867533,576.07347575891,350.227805270789,0.592618537566987
2,"Ballard",2014,5,"Renter",141.330479755718,285.426448830414,173.526959574765,1.22780988131291
2,"Ballard",2014,6,"Owner",76.8473239026025,210.419343049869,127.925877173554,1.66467575807441
2,"Ballard",2014,6,"Renter",35.7449931117117,190.917772975048,116.06976441356,3.24716147100139
2,"Ballard",2014,7,"Owner",20.041260904814,177.37331470657,107.835318474696,5.38066536765624
2,"Ballard",2014,7,"Renter",2.03638100300518,179.610940076431,109.195698105562,53.6224301564474
2,"Ballard",2014,NA,"Owner",25813.2089318088,3601.61317670583,2189.62533668176,0.0848257704985898
2,"Ballard",2019,0,"Total",29578.6010553133,1541.80956491947,937.353658499703,0.0316902634018022
2,"Ballard",2019,1,"Owner",4034.38031192403,1559.55069409762,948.139499189388,0.23501490337613
