GEOID,variable,value,moe,geometry,Year,short_label,SE,CoV,censored_est
53033000100,highly_burdened,418,271,"list(c(-122.296837, -122.296737, -122.296637, -122.296637, -122.296137, -122.296337, -122.295037, -122.292637, -122.290537, -122.286137, -122.285137, -122.284737, -122.284101, -122.283677, -122.283037, -122.280545, -122.279137, -122.278037, -122.267136, -122.269737, -122.281807, -122.283337, -122.284237, -122.286037, -122.287137, -122.290037, -122.292637, -122.296711, -122.296837, 47.73182, 47.73002, 47.72772, 47.72632, 47.72282, 47.71922, 47.71922, 47.71922, 47.71922, 47.71912, 47.71902, 47.71902, 
47.719057, 47.719079, 47.71912, 47.718928, 47.71882, 47.71892, 47.71882, 47.73312, 47.733297, 47.73332, 47.73332, 47.73342, 47.73332, 47.73342, 47.73352, 47.733697, 47.73182))",2009,Population,164.75630144808952,0.39415383121552516,418
53033000100,low_burden,1172,552,"list(c(-122.296837, -122.296737, -122.296637, -122.296637, -122.296137, -122.296337, -122.295037, -122.292637, -122.290537, -122.286137, -122.285137, -122.284737, -122.284101, -122.283677, -122.283037, -122.280545, -122.279137, -122.278037, -122.267136, -122.269737, -122.281807, -122.283337, -122.284237, -122.286037, -122.287137, -122.290037, -122.292637, -122.296711, -122.296837, 47.73182, 47.73002, 47.72772, 47.72632, 47.72282, 47.71922, 47.71922, 47.71922, 47.71922, 47.71912, 47.71902, 47.71902, 
47.719057, 47.719079, 47.71912, 47.718928, 47.71882, 47.71892, 47.71882, 47.73312, 47.733297, 47.73332, 47.73332, 47.73342, 47.73332, 47.73342, 47.73352, 47.733697, 47.73182))",2009,Population,335.5921712152967,0.28634144301646475,1172
53033000100,severely_burdened,607,189,"list(c(-122.296837, -122.296737, -122.296637, -122.296637, -122.296137, -122.296337, -122.295037, -122.292637, -122.290537, -122.286137, -122.285137, -122.284737, -122.284101, -122.283677, -122.283037, -122.280545, -122.279137, -122.278037, -122.267136, -122.269737, -122.281807, -122.283337, -122.284237, -122.286037, -122.287137, -122.290037, -122.292637, -122.296711, -122.296837, 47.73182, 47.73002, 47.72772, 47.72632, 47.72282, 47.71922, 47.71922, 47.71922, 47.71922, 47.71912, 47.71902, 47.71902, 
47.719057, 47.719079, 47.71912, 47.718928, 47.71882, 47.71892, 47.71882, 47.73312, 47.733297, 47.73332, 47.73332, 47.73342, 47.73332, 47.73342, 47.73352, 47.733697, 47.73182))",2009,Population,114.90384123132442,0.189297926246004,607
53033000200,highly_burdened,346,220,"list(c(-122.323438, -122.323438, -122.323438, -122.320738, -122.317938, -122.312438, -122.309138, -122.307238, -122.301838, -122.300137, -122.298937, -122.296337, -122.296137, -122.296637, -122.296637, -122.296737, -122.296837, -122.296711, -122.299338, -122.301838, -122.306038, -122.308538, -122.312638, -122.315338, -122.320738, -122.323438, -122.323438, 47.72312, 47.72192, 47.71962, 47.71962, 47.71962, 47.71952, 47.71942, 47.71942, 47.71932, 47.71912, 47.71912, 47.71922, 47.72282, 47.72632, 47.72772, 
47.73002, 47.73182, 47.733697, 47.73372, 47.73382, 47.73382, 47.73382, 47.73392, 47.73392, 47.73402, 47.73402, 47.72312))",2009,Population,133.75050302058926,0.3865621474583505,346
53033000200,low_burden,614,354,"list(c(-122.323438, -122.323438, -122.323438, -122.320738, -122.317938, -122.312438, -122.309138, -122.307238, -122.301838, -122.300137, -122.298937, -122.296337, -122.296137, -122.296637, -122.296637, -122.296737, -122.296837, -122.296711, -122.299338, -122.301838, -122.306038, -122.308538, -122.312638, -122.315338, -122.320738, -122.323438, -122.323438, 47.72312, 47.72192, 47.71962, 47.71962, 47.71962, 47.71952, 47.71942, 47.71942, 47.71932, 47.71912, 47.71912, 47.71922, 47.72282, 47.72632, 47.72772, 
47.73002, 47.73182, 47.733697, 47.73372, 47.73382, 47.73382, 47.73382, 47.73392, 47.73392, 47.73402, 47.73402, 47.72312))",2009,Population,215.21671849676636,0.35051582817062926,614
53033000200,severely_burdened,322,164,"list(c(-122.323438, -122.323438, -122.323438, -122.320738, -122.317938, -122.312438, -122.309138, -122.307238, -122.301838, -122.300137, -122.298937, -122.296337, -122.296137, -122.296637, -122.296637, -122.296737, -122.296837, -122.296711, -122.299338, -122.301838, -122.306038, -122.308538, -122.312638, -122.315338, -122.320738, -122.323438, -122.323438, 47.72312, 47.72192, 47.71962, 47.71962, 47.71962, 47.71952, 47.71942, 47.71942, 47.71932, 47.71912, 47.71912, 47.71922, 47.72282, 47.72632, 47.72772, 
47.73002, 47.73182, 47.733697, 47.73372, 47.73382, 47.73382, 47.73382, 47.73392, 47.73392, 47.73402, 47.73402, 47.72312))",2009,Population,99.70492043353018,0.3096426100420192,322
53033000300,highly_burdened,115,118,"list(c(-122.345208, -122.345139, -122.340939, -122.339639, -122.334139, -122.331539, -122.330239, -122.328839, -122.324607, -122.324238, -122.323438, -122.323438, -122.324638, -122.328839, -122.331639, -122.334235, -122.336939, -122.339739, -122.345239, -122.345208, 47.732319, 47.728619, 47.728719, 47.728619, 47.728619, 47.72742, 47.72682, 47.72612, 47.723772, 47.72352, 47.72312, 47.73402, 47.73402, 47.734019, 47.734019, 47.734048, 47.734119, 47.734019, 47.734119, 47.732319))",2009,Population,71.73890616558879,0.623816575352946,115
53033000300,low_burden,77,310,"list(c(-122.345208, -122.345139, -122.340939, -122.339639, -122.334139, -122.331539, -122.330239, -122.328839, -122.324607, -122.324238, -122.323438, -122.323438, -122.324638, -122.328839, -122.331639, -122.334235, -122.336939, -122.339739, -122.345239, -122.345208, 47.732319, 47.728619, 47.728719, 47.728619, 47.728619, 47.72742, 47.72682, 47.72612, 47.723772, 47.72352, 47.72312, 47.73402, 47.73402, 47.734019, 47.734019, 47.734048, 47.734119, 47.734019, 47.734119, 47.732319))",2009,Population,188.46661789264851,2.4476184141902406,NA
53033000300,severely_burdened,25,23,"list(c(-122.345208, -122.345139, -122.340939, -122.339639, -122.334139, -122.331539, -122.330239, -122.328839, -122.324607, -122.324238, -122.323438, -122.323438, -122.324638, -122.328839, -122.331639, -122.334235, -122.336939, -122.339739, -122.345239, -122.345208, 47.732319, 47.728619, 47.728719, 47.728619, 47.728619, 47.72742, 47.72682, 47.72612, 47.723772, 47.72352, 47.72312, 47.73402, 47.73402, 47.734019, 47.734019, 47.734048, 47.734119, 47.734019, 47.734119, 47.732319))",2009,Population,13.983007133970697,0.5593202853588278,25
53033000401,highly_burdened,415,242,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",2009,Population,147.1255533226482,0.3545194055967426,415
