"Year","GEOID","Residence","Bedrooms","value","moe"
2000,53033001300,"Duplex","1",1,0
2000,53033001400,"Duplex","1",1,0
2000,53033001500,"Duplex","1",1,0
2000,53033001800,"Duplex","1",1,0
2000,53033002500,"Duplex","1",1,0
2000,53033002800,"Duplex","1",2,0
2000,53033002900,"Duplex","1",2,0
2000,53033003000,"Duplex","1",1,0
2000,53033003200,"Duplex","1",6,0
2000,53033003300,"Duplex","1",5,0
2000,53033003400,"Duplex","1",1,0
2000,53033003600,"Duplex","1",3,0
2000,53033004200,"Duplex","1",1,0
2000,53033004400,"Duplex","1",2,0
2000,53033004500,"Duplex","1",1,0
2000,53033004600,"Duplex","1",3,0
2000,53033004700,"Duplex","1",4,0
2000,53033004800,"Duplex","1",2,0
2000,53033004900,"Duplex","1",5,0
2000,53033005000,"Duplex","1",2,0
2000,53033005100,"Duplex","1",2,0
2000,53033005400,"Duplex","1",5,0
2000,53033005600,"Duplex","1",1,0
2000,53033005700,"Duplex","1",1,0
2000,53033005802,"Duplex","1",2,0
2000,53033006500,"Duplex","1",1,0
2000,53033006600,"Duplex","1",1,0
2000,53033006700,"Duplex","1",1,0
2000,53033006900,"Duplex","1",1,0
2000,53033007500,"Duplex","1",1,0
2000,53033008700,"Duplex","1",2,0
2000,53033009400,"Duplex","1",1,0
2000,53033009500,"Duplex","1",1,0
2000,53033009600,"Duplex","1",3,0
2000,53033009701,"Duplex","1",3,0
2000,53033009702,"Duplex","1",1,0
2000,53033009800,"Duplex","1",1,0
2000,53033009900,"Duplex","1",1,0
2000,53033010000,"Duplex","1",1,0
2000,53033010500,"Duplex","1",3,0
2000,53033010600,"Duplex","1",2,0
2000,53033010900,"Duplex","1",2,0
2000,53033011200,"Duplex","1",2,0
2000,53033011300,"Duplex","1",1,0
2000,53033011400,"Duplex","1",1,0
2000,53033011500,"Duplex","1",1,0
2000,53033011600,"Duplex","1",1,0
2000,53033011800,"Duplex","1",1,0
2000,53033011900,"Duplex","1",1,0
2000,53033020402,"Duplex","1",2,0
2000,53033022400,"Duplex","1",1,0
2000,53033025300,"Duplex","1",4,0
2000,53033025600,"Duplex","1",2,0
2000,53033027100,"Duplex","1",1,0
2000,53033027400,"Duplex","1",1,0
2000,53033027500,"Duplex","1",1,0
2000,53033028000,"Duplex","1",1,0
2000,53033028402,"Duplex","1",1,0
2000,53033028600,"Duplex","1",1,0
2000,53033028802,"Duplex","1",2,0
2000,53033030501,"Duplex","1",1,0
2000,53033030600,"Duplex","1",1,0
2000,53033031204,"Duplex","1",1,0
2000,53033031400,"Duplex","1",1,0
2000,53033032210,"Duplex","1",1,0
2000,53033032320,"Duplex","1",1,0
2000,53033032704,"Duplex","1",2,0
2000,53033000100,"Single Family","1",33,0
2000,53033000200,"Single Family","1",53,0
2000,53033000300,"Single Family","1",22,0
2000,53033000401,"Single Family","1",29,0
2000,53033000402,"Single Family","1",31,0
2000,53033000500,"Single Family","1",16,0
2000,53033000600,"Single Family","1",49,0
2000,53033000700,"Single Family","1",48,0
2000,53033000800,"Single Family","1",25,0
2000,53033000900,"Single Family","1",30,0
2000,53033001000,"Single Family","1",14,0
2000,53033001100,"Single Family","1",32,0
2000,53033001200,"Single Family","1",25,0
2000,53033001300,"Single Family","1",59,0
2000,53033001400,"Single Family","1",35,0
2000,53033001500,"Single Family","1",43,0
2000,53033001600,"Single Family","1",47,0
2000,53033001700,"Single Family","1",130,0
2000,53033001800,"Single Family","1",34,0
2000,53033001900,"Single Family","1",61,0
2000,53033002000,"Single Family","1",69,0
2000,53033002100,"Single Family","1",40,0
2000,53033002200,"Single Family","1",35,0
2000,53033002400,"Single Family","1",10,0
2000,53033002500,"Single Family","1",28,0
2000,53033002600,"Single Family","1",43,0
2000,53033002700,"Single Family","1",45,0
2000,53033002800,"Single Family","1",104,0
2000,53033002900,"Single Family","1",82,0
2000,53033003000,"Single Family","1",99,0
2000,53033003100,"Single Family","1",89,0
2000,53033003200,"Single Family","1",94,0
2000,53033003300,"Single Family","1",74,0
2000,53033003400,"Single Family","1",43,0
2000,53033003500,"Single Family","1",48,0
2000,53033003600,"Single Family","1",43,0
2000,53033003800,"Single Family","1",19,0
2000,53033003900,"Single Family","1",11,0
