"Year","GEOID","Residence","Bedrooms","value","moe"
2000,53033000402,"Duplex","0",1,0
2000,53033002600,"Duplex","0",1,0
2000,53033003400,"Duplex","0",1,0
2000,53033004700,"Duplex","0",1,0
2000,53033004800,"Duplex","0",1,0
2000,53033005100,"Duplex","0",1,0
2000,53033005801,"Duplex","0",1,0
2000,53033005802,"Duplex","0",1,0
2000,53033006000,"Duplex","0",1,0
2000,53033006500,"Duplex","0",1,0
2000,53033011101,"Duplex","0",1,0
2000,53033011700,"Duplex","0",1,0
2000,53033020200,"Duplex","0",1,0
2000,53033022400,"Duplex","0",1,0
2000,53033027800,"Duplex","0",1,0
2000,53033030801,"Duplex","0",1,0
2000,53033001300,"Duplex","1",1,0
2000,53033001400,"Duplex","1",1,0
2000,53033001500,"Duplex","1",1,0
2000,53033001800,"Duplex","1",1,0
2000,53033002500,"Duplex","1",1,0
2000,53033002800,"Duplex","1",2,0
2000,53033002900,"Duplex","1",2,0
2000,53033003000,"Duplex","1",1,0
2000,53033003200,"Duplex","1",6,0
2000,53033003300,"Duplex","1",5,0
2000,53033003400,"Duplex","1",1,0
2000,53033003600,"Duplex","1",3,0
2000,53033004200,"Duplex","1",1,0
2000,53033004400,"Duplex","1",2,0
2000,53033004500,"Duplex","1",1,0
2000,53033004600,"Duplex","1",3,0
2000,53033004700,"Duplex","1",4,0
2000,53033004800,"Duplex","1",2,0
2000,53033004900,"Duplex","1",5,0
2000,53033005000,"Duplex","1",2,0
2000,53033005100,"Duplex","1",2,0
2000,53033005400,"Duplex","1",5,0
2000,53033005600,"Duplex","1",1,0
2000,53033005700,"Duplex","1",1,0
2000,53033005802,"Duplex","1",2,0
2000,53033006500,"Duplex","1",1,0
2000,53033006600,"Duplex","1",1,0
2000,53033006700,"Duplex","1",1,0
2000,53033006900,"Duplex","1",1,0
2000,53033007500,"Duplex","1",1,0
2000,53033008700,"Duplex","1",2,0
2000,53033009400,"Duplex","1",1,0
2000,53033009500,"Duplex","1",1,0
2000,53033009600,"Duplex","1",3,0
2000,53033009701,"Duplex","1",3,0
2000,53033009702,"Duplex","1",1,0
2000,53033009800,"Duplex","1",1,0
2000,53033009900,"Duplex","1",1,0
2000,53033010000,"Duplex","1",1,0
2000,53033010500,"Duplex","1",3,0
2000,53033010600,"Duplex","1",2,0
2000,53033010900,"Duplex","1",2,0
2000,53033011200,"Duplex","1",2,0
2000,53033011300,"Duplex","1",1,0
2000,53033011400,"Duplex","1",1,0
2000,53033011500,"Duplex","1",1,0
2000,53033011600,"Duplex","1",1,0
2000,53033011800,"Duplex","1",1,0
2000,53033011900,"Duplex","1",1,0
2000,53033020402,"Duplex","1",2,0
