FID_HRA_20,GEOID,Year,short_label,tenure,value,moe,SE,CoV
0,Auburn-North,2010,0,Total,13192.82689,0,0,0
0,Auburn-North,2010,1,Owner,1532.227448,0,0,0
0,Auburn-North,2010,1,Renter,1850.83755,0,0,0
0,Auburn-North,2010,2,Owner,2807.621056,0,0,0
0,Auburn-North,2010,2,Renter,1336.799951,0,0,0
0,Auburn-North,2010,3,Owner,1302.310651,0,0,0
0,Auburn-North,2010,3,Renter,802.41564,0,0,0
0,Auburn-North,2010,4,Owner,1256.384769,0,0,0
0,Auburn-North,2010,4,Renter,610.069418,0,0,0
0,Auburn-North,2010,5,Owner,564.305687,0,0,0
0,Auburn-North,2010,5,Renter,329.0997061,0,0,0
0,Auburn-North,2010,6,Owner,446.29703,0,0,0
0,Auburn-North,2010,7,Owner,354.4579798,0,0,0
0,Auburn-North,2010,NA,Owner,13192.82689,0,0,0
0,Auburn-North,2014,0,Total,13703.16628,918.3719403,558.3304953,0.040744634
0,Auburn-North,2014,1,Owner,1686.512058,729.0973304,443.2597031,0.262826288
0,Auburn-North,2014,1,Renter,1871.056237,744.4425426,452.5889297,0.241889539
0,Auburn-North,2014,2,Owner,3159.225565,884.3103693,537.6225305,0.170175418
0,Auburn-North,2014,2,Renter,1459.763753,771.6042666,469.1020854,0.321354798
0,Auburn-North,2014,3,Owner,1405.380866,761.2326398,462.796584,0.329303319
0,Auburn-North,2014,3,Renter,701.7324328,561.234177,341.2061522,0.486233978
0,Auburn-North,2014,4,Owner,1081.855237,640.0744398,389.1376286,0.359694731
0,Auburn-North,2014,4,Renter,581.5512422,490.8279792,298.4022233,0.513114239
0,Auburn-North,2014,5,Owner,537.2787989,420.735622,255.7890958,0.476082616
0,Auburn-North,2014,5,Renter,469.0062672,423.4936152,257.4658366,0.548960333
0,Auburn-North,2014,6,Owner,325.5081761,337.8128362,205.3756217,0.630938443
0,Auburn-North,2014,6,Renter,59.54646512,169.9402809,103.3163548,1.735054375
0,Auburn-North,2014,7,Owner,191.0251185,257.7058539,156.6740345,0.820175042
0,Auburn-North,2014,7,Renter,173.7240677,291.2660145,177.0771634,1.019301273
0,Auburn-North,2014,NA,Owner,13703.16628,2208.941485,1342.941067,0.098002246
0,Auburn-North,2019,0,Total,14837.54101,1108.844133,674.1293662,0.045434036
0,Auburn-North,2019,1,Owner,1644.331873,782.0030802,475.4241152,0.289129052
0,Auburn-North,2019,1,Renter,2204.025895,923.1256066,561.2205192,0.254634267
0,Auburn-North,2019,2,Owner,3234.088509,946.1713023,575.2313074,0.177865048
