GEOID,Year,prevalence,prevalence_upper,prevalence_lower,tenure,hh_size,total_by_Tenure,count_value,count_upper,count_lower,county_total_by_tenure_size,distribution,distribution_upper,distribution_lower
Auburn-North,2000,0.3623493609401447,0.3831925287462365,0.3419709235198102,Renter Occupied,1,4252.291196788628,1540.8149976877626,1629.446216662795,1454.159947640966,123776.96752991088,0.012448317554034619,0.013164373382059445,0.011748227288647755
Auburn-South,2000,0.29877492363065117,0.3178475182373524,0.28037899907272995,Renter Occupied,1,3421.6564234255898,1022.3051365993076,1087.565002446719,959.3606031708439,123776.96752991088,0.008259251757418165,0.008786489313400795,0.0077507198820250065
Ballard,2000,0.4917663337489758,0.5141268239158258,0.46943924464151815,Renter Occupied,1,10460.122023078819,5143.935857856391,5377.829313497495,4910.391781372229,123776.96752991088,0.041558102129245905,0.04344773846715815,0.03967128844213788
Beacon/Gtown/S.Park,2000,0.33599820004229575,0.3562081914643472,0.3164209564152539,Renter Occupied,1,5104.884101202242,1715.231869428486,1818.40153332435,1615.2923096914374,123776.96752991088,0.01385743974551645,0.0146909523606234,0.013050023295336426
Bear Creek/Carnation/Duvall,2000,0.2950089950872308,0.31392424124435614,0.27680824550339644,Renter Occupied,1,2194.246333646663,647.3224058629426,688.8271153932391,607.3854778189931,123776.96752991088,0.005229748464362048,0.005565066984104155,0.004907096125716746
Bellevue-Central,2000,0.3626371453610681,0.3835487363461962,0.34222481055745296,Renter Occupied,1,8203.594379796341,2974.928047589447,3146.4782578676436,2807.4735325159886,123776.96752991088,0.02403458500363205,0.02542054730099356,0.02268171202237249
Bellevue-NE,2000,0.3416901607546156,0.361997723768974,0.321957895528343,Renter Occupied,1,4444.478373461213,1518.6345298983742,1608.8910545333908,1430.934903840805,123776.96752991088,0.012269120501206284,0.012998307250859091,0.011560591056611703
Bellevue-South,2000,0.287838001990195,0.30650614615101535,0.26990384057543726,Renter Occupied,1,1603.516550634465,461.5530000928337,491.4876782243393,432.7952754425197,123776.96752991088,0.003728908611218794,0.003970752297721065,0.003496573587795598
Bellevue-West,2000,0.4374675667002652,0.4594695530754982,0.41565955969542384,Renter Occupied,1,4033.54658689851,1764.545810542651,1853.2918475914596,1676.5821983212145,123776.96752991088,0.014255849418158075,0.014972832866854724,0.01354518721680644
Black Diamond/Enumclaw/SE County,2000,0.3250868217782226,0.34494668093948466,0.30582132751023444,Renter Occupied,1,3639.9521488393907,1183.3004754910094,1255.5894125206928,1113.1749982317929,123776.96752991088,0.009559940747498627,0.010143966503439163,0.00899339368580663
Bothell/Woodinville,2000,0.4186000205581672,0.4405003168286396,0.3969835984779408,Renter Occupied,1,4081.5559192054125,1708.5393916886946,1797.9266755637937,1620.310756195104,123776.96752991088,0.013803370899968314,0.014525535012233371,0.013090567563012509
Burien,2000,0.38792854603571586,0.4093274151873236,0.3669418846381992,Renter Occupied,1,6925.770259058334,2686.7039867739027,2834.9076383215884,2541.355191430054,123776.96752991088,0.021706009125846915,0.022903353466278198,0.02053172930429025
Capitol Hill/E.lake,2000,0.5998279226590413,0.6210218651447786,0.578201341314348,Renter Occupied,1,15808.734134027249,9482.520155482642,9817.56955749153,9140.631280776472,123776.96752991088,0.07660973074971462,0.07931661078317419,0.07384759429146319
