,GEOID,moe,race_cat,YEAR,Less_1_occupant,More_1_occupant
1,53033000100,261, (WHITE ALONE HOUSEHOLDER),2009,2163,NA
2,53033000100,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
3,53033000100,131, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,NA
4,53033000100,129, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,251,NA
5,53033000100,22, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,13
6,53033000100,57, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,46,NA
7,53033000100,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
8,53033000100,142, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
9,53033000100,125, (ASIAN ALONE HOUSEHOLDER),2009,343,NA
10,53033000100,41, (ASIAN ALONE HOUSEHOLDER),2009,NA,31
11,53033000100,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
12,53033000100,49, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,NA
13,53033000100,15, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,9,NA
14,53033000100,46, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,63
15,53033000100,117, (TWO OR MORE RACES HOUSEHOLDER),2009,221,NA
16,53033000100,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
17,53033000100,260," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,2035,NA
18,53033000100,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
19,53033000100,82, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,NA
20,53033000100,87, (HISPANIC OR LATINO HOUSEHOLDER),2009,148,NA
21,53033000100,46, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,63
22,53033000200,187, (WHITE ALONE HOUSEHOLDER),2009,2890,NA
23,53033000200,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
24,53033000200,34, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,21,NA
25,53033000200,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
26,53033000200,24, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,19,NA
27,53033000200,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
28,53033000200,120, (ASIAN ALONE HOUSEHOLDER),2009,503,NA
29,53033000200,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
30,53033000200,25, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,14,NA
31,53033000200,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
32,53033000200,60, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,38,NA
33,53033000200,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
34,53033000200,87, (TWO OR MORE RACES HOUSEHOLDER),2009,125,NA
35,53033000200,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
36,53033000200,192," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,2689,NA
37,53033000200,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
38,53033000200,122, (HISPANIC OR LATINO HOUSEHOLDER),2009,201,NA
39,53033000200,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
40,53033000300,86, (WHITE ALONE HOUSEHOLDER),2009,NA,NA
