"GEOID","moe","Race","Year","short_label","value"
"53033000100",261,"White",2009,"One or less occupant per room",2163
"53033000100",261,"White",2009,"More than one occupant per room",0
"53033000100",119,"White",2009,"One or less occupant per room",0
"53033000100",119,"White",2009,"More than one occupant per room",0
"53033000100",131,"Black",2009,"One or less occupant per room",0
"53033000100",131,"Black",2009,"More than one occupant per room",0
"53033000100",129,"Black",2009,"One or less occupant per room",251
"53033000100",129,"Black",2009,"More than one occupant per room",0
"53033000100",22,"Black",2009,"One or less occupant per room",0
"53033000100",22,"Black",2009,"More than one occupant per room",13
"53033000100",57,"AIAN",2009,"One or less occupant per room",46
"53033000100",57,"AIAN",2009,"More than one occupant per room",0
"53033000100",119,"AIAN",2009,"One or less occupant per room",0
"53033000100",119,"AIAN",2009,"More than one occupant per room",0
"53033000100",142,"Asian",2009,"One or less occupant per room",0
"53033000100",142,"Asian",2009,"More than one occupant per room",0
"53033000100",125,"Asian",2009,"One or less occupant per room",343
"53033000100",125,"Asian",2009,"More than one occupant per room",0
"53033000100",41,"Asian",2009,"One or less occupant per room",0
"53033000100",41,"Asian",2009,"More than one occupant per room",31
"53033000100",119,"NHOPI",2009,"One or less occupant per room",0
"53033000100",119,"NHOPI",2009,"More than one occupant per room",0
"53033000100",49,"Other",2009,"One or less occupant per room",0
"53033000100",49,"Other",2009,"More than one occupant per room",0
"53033000100",15,"Other",2009,"One or less occupant per room",9
"53033000100",15,"Other",2009,"More than one occupant per room",0
"53033000100",46,"Other",2009,"One or less occupant per room",0
"53033000100",46,"Other",2009,"More than one occupant per room",63
"53033000100",117,"Two of More Races",2009,"One or less occupant per room",221
"53033000100",117,"Two of More Races",2009,"More than one occupant per room",0
"53033000100",119,"Two of More Races",2009,"One or less occupant per room",0
"53033000100",119,"Two of More Races",2009,"More than one occupant per room",0
"53033000100",260,"White",2009,"One or less occupant per room",2035
"53033000100",260,"White",2009,"More than one occupant per room",0
"53033000100",82,"Hispanic",2009,"One or less occupant per room",0
"53033000100",82,"Hispanic",2009,"More than one occupant per room",0
"53033000100",87,"Hispanic",2009,"One or less occupant per room",148
"53033000100",87,"Hispanic",2009,"More than one occupant per room",0
"53033000100",46,"Hispanic",2009,"One or less occupant per room",0
"53033000100",46,"Hispanic",2009,"More than one occupant per room",63
"53033000200",187,"White",2009,"One or less occupant per room",2890
"53033000200",187,"White",2009,"More than one occupant per room",0
"53033000200",119,"White",2009,"One or less occupant per room",0
"53033000200",119,"White",2009,"More than one occupant per room",0
"53033000200",34,"Black",2009,"One or less occupant per room",21
"53033000200",34,"Black",2009,"More than one occupant per room",0
"53033000200",119,"Black",2009,"One or less occupant per room",0
"53033000200",119,"Black",2009,"More than one occupant per room",0
"53033000200",24,"AIAN",2009,"One or less occupant per room",19
"53033000200",24,"AIAN",2009,"More than one occupant per room",0
"53033000200",119,"AIAN",2009,"One or less occupant per room",0
"53033000200",119,"AIAN",2009,"More than one occupant per room",0
"53033000200",120,"Asian",2009,"One or less occupant per room",503
"53033000200",120,"Asian",2009,"More than one occupant per room",0
"53033000200",119,"Asian",2009,"One or less occupant per room",0
"53033000200",119,"Asian",2009,"More than one occupant per room",0
"53033000200",25,"NHOPI",2009,"One or less occupant per room",14
"53033000200",25,"NHOPI",2009,"More than one occupant per room",0
"53033000200",119,"NHOPI",2009,"One or less occupant per room",0
"53033000200",119,"NHOPI",2009,"More than one occupant per room",0
"53033000200",60,"Other",2009,"One or less occupant per room",38
"53033000200",60,"Other",2009,"More than one occupant per room",0
"53033000200",119,"Other",2009,"One or less occupant per room",0
"53033000200",119,"Other",2009,"More than one occupant per room",0
"53033000200",87,"Two of More Races",2009,"One or less occupant per room",125
"53033000200",87,"Two of More Races",2009,"More than one occupant per room",0
"53033000200",119,"Two of More Races",2009,"One or less occupant per room",0
"53033000200",119,"Two of More Races",2009,"More than one occupant per room",0
"53033000200",192,"White",2009,"One or less occupant per room",2689
"53033000200",192,"White",2009,"More than one occupant per room",0
"53033000200",122,"Hispanic",2009,"One or less occupant per room",201
"53033000200",122,"Hispanic",2009,"More than one occupant per room",0
"53033000200",119,"Hispanic",2009,"One or less occupant per room",0
"53033000200",119,"Hispanic",2009,"More than one occupant per room",0
"53033000300",86,"White",2009,"One or less occupant per room",0
"53033000300",86,"White",2009,"More than one occupant per room",0
"53033000300",84,"White",2009,"One or less occupant per room",893
"53033000300",84,"White",2009,"More than one occupant per room",0
"53033000300",11,"White",2009,"One or less occupant per room",0
"53033000300",11,"White",2009,"More than one occupant per room",6
"53033000300",30,"Black",2009,"One or less occupant per room",32
"53033000300",30,"Black",2009,"More than one occupant per room",0
"53033000300",119,"Black",2009,"One or less occupant per room",0
"53033000300",119,"Black",2009,"More than one occupant per room",0
"53033000300",9,"AIAN",2009,"One or less occupant per room",5
"53033000300",9,"AIAN",2009,"More than one occupant per room",0
"53033000300",119,"AIAN",2009,"One or less occupant per room",0
"53033000300",119,"AIAN",2009,"More than one occupant per room",0
"53033000300",31,"Asian",2009,"One or less occupant per room",0
"53033000300",31,"Asian",2009,"More than one occupant per room",0
"53033000300",33,"Asian",2009,"One or less occupant per room",67
"53033000300",33,"Asian",2009,"More than one occupant per room",0
"53033000300",15,"Asian",2009,"One or less occupant per room",0
"53033000300",15,"Asian",2009,"More than one occupant per room",9
"53033000300",119,"NHOPI",2009,"One or less occupant per room",0
"53033000300",119,"NHOPI",2009,"More than one occupant per room",0
"53033000300",18,"Other",2009,"One or less occupant per room",11
"53033000300",18,"Other",2009,"More than one occupant per room",0
