County,PopAbove16,OneDose,OneDosePercent,Vaxxed,Doses Administered
Alabama,4903185,1914810,39.0523710608512,1575798,3376543
Autauga,55869,18926,33.8756734503928,14848,32708
Baldwin,223234,85409,38.2598528897927,69328,151057
Barbour,24686,8590,34.7970509600583,7090,15125
Bibb,22394,7408,33.0802893632222,5923,12780
Blount,57826,17954,31.0483173658907,14774,31467
Bullock,10101,4606,45.5994455994455,3668,8079
Butler,19448,6854,35.2426984779925,5364,11618
Calhoun,113605,37844,33.3119140882883,31591,67133
Chambers,33254,12135,36.4918506044385,10244,21822
Cherokee,26196,7531,28.7486639181554,6467,12707
Chilton,44428,13393,30.1454037994057,10756,22588
Choctaw,12589,4405,34.9908650409087,3480,7576
Clarke,23622,8980,38.015409364152,7251,15529
Clay,13235,4731,35.7461276917264,3745,8027
Cleburne,14910,3502,23.4875922199865,2986,6390
Coffee,52342,15563,29.7332925757517,12842,27241
Colbert,55241,21604,39.1086330805018,18560,39291
Conecuh,12067,4577,37.9298914394629,3466,7803
Coosa,10663,3829,35.9092187939604,3297,6852
Covington,37049,10893,29.4016032821398,8900,18930
Crenshaw,13772,4524,32.8492593668312,3771,7886
Cullman,83768,27842,33.2370356221946,24179,50710
Dale,49172,13731,27.9244285365655,11597,24181
Dallas,37196,14297,38.4369287020109,10595,24081
DeKalb,71513,19420,27.155901724162,16130,33603
Elmore,81209,27150,33.432255045623,21710,46729
Escambia,36633,9882,26.9756776676766,7587,16776
Etowah,102268,34878,34.1045097195603,29429,62316
Fayette,16302,4989,30.6036069193963,4351,8851
Franklin,31362,10321,32.9092532364007,8586,17901
Geneva,26271,7712,29.3555631685128,6495,13563
Greene,8111,3361,41.437553939095,2585,5823
Hale,14651,6244,42.6182513139034,5395,10945
Henry,17205,6319,36.7276954373728,5216,11271
Houston,105882,36826,34.7802270452012,30815,65995
Jackson,51626,15442,29.9112850114283,12787,27255
Jefferson,658573,297307,45.1441222157604,240889,522151
Lamar,13805,4052,29.3516841724013,3548,7250
Lauderdale,92729,35342,38.1132116166463,28901,63022
Lawrence,32924,10514,31.9341513789333,9083,18671
Lee,164542,63266,38.4497575087211,54596,115712
Limestone,98915,37668,38.0811808118081,33457,69095
Lowndes,9726,4936,50.7505654945506,3651,8416
Macon,18068,7373,40.8069515164932,5763,12749
Madison,372909,165797,44.4604447733897,141463,295680
Marengo,18863,8145,43.1797699199491,6692,13876
Marion,29709,9020,30.3611700158201,7753,16120
Marshall,96774,31611,32.6647653295306,26798,54909
Mobile,413210,148490,35.9357227559836,125385,267851
Monroe,20733,7257,35.0021704529011,5622,12622
Montgomery,226486,88587,39.1136759004971,68028,153150
Morgan,119679,43576,36.4107320415444,37761,77814
Perry,8923,3936,44.1107250924576,3182,6871
Pickens,19930,6147,30.8429503261414,4826,10571
Pike,33114,10533,31.8082986048197,8735,18637
Randolph,22722,6081,26.7626089252706,5104,10953
Russell,57961,12377,21.3540139059022,9852,21759
Shelby,217702,97954,44.9945338122754,79731,171751
St. Clair,89512,30425,33.9898561086781,25294,53990
Sumter,12427,4569,36.7667176309648,3468,7754
Talladega,79978,26873,33.600490134787,22426,47914
Tallapoosa,40367,15585,38.6082691307255,13564,28568
Tuscaloosa,209355,74699,35.6805426189964,64453,135421
Unknown,-1,81884,-8188400,57530,133332
Walker,63521,22455,35.350514003243,18739,38462
Washington,16326,5154,31.56927600147,4296,9300
Wilcox,10373,4493,43.314373855201,3459,7171
Winston,23629,7032,29.7600406280418,5941,12392
