Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Green Lake,410 NE 72nd St,Seattle,WA,98115,1923,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.324214 47.680601)
Medium Risk,Pioneer Square/Chinatown International District,423 2nd Av Et S,Seattle,WA,98104,1900,3,Substantial Alteration,Office,11-100,Field Visit,POINT (-122.33183000000001 47.601527)
Medium Risk,Ballard,2021 NW 58th St,Seattle,WA,98107,1900,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.382957 47.670916)
Medium Risk,Univ Dist,4203 Brooklyn Ave NE,Seattle,WA,98105,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31435900000001 47.658516)
High Risk,Pioneer Square/Chinatown International District,222 2nd Av Et S,Seattle,WA,98104,1906,4,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.330167 47.599746)
Medium Risk,Georgetown,5625 Airport Way S,Seattle,WA,98108,1924,1,Substantial Alteration,Commercial,101+,Google Street View,POINT (-122.319202 47.551547)
Medium Risk,Univ Dist,1304 NE 42nd St,Seattle,WA,98105,1924,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.314072 47.658331)
High Risk,Central Area/Squire Park,800 18th Ave,Seattle,WA,98122,1901,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.30889100000002 47.610034)
High Risk,Belltown,2800 1st Ave,Seattle,WA,98121,1942,3,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.352021 47.616627)
High Risk,North Beacon Hill/Jefferson Park,2801 15th Ave S,Seattle,WA,98144,1931,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31337099999999 47.578632000000006)
Medium Risk,Belltown,2112 1st Ave,Seattle,WA,98121,1904,2,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.34449 47.612157)
Medium Risk,Duwamish/SODO,123 S Jackson St,Seattle,WA,98104,1902,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.333159 47.599211000000004)
Critical Risk,Wallingford,4649 Sunnyside Ave N,Seattle,WA,98103,1906,5,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.330171 47.663831)
Medium Risk,Cascade/Eastlake,2132 3rd Ave,Seattle,WA,98121,1919,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.34332599999999 47.613835)
High Risk,Pioneer Square/Chinatown International District,212 Alaskan Way S,Seattle,WA,98104,1914,5,Substantial Alteration,Residential,101+,Field Visit,POINT (-122.33591600000001 47.600042)
Medium Risk,Queen Anne,25 W Roy St,Seattle,WA,98119,1914,5,No visible retrofit,Residential,101+,Google Street View,POINT (-122.357608 47.625698)
Medium Risk,Cascade/Eastlake,2321 4th Ave,Seattle,WA,98121,1918,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.344693 47.615808)
Medium Risk,Georgetown,5501 Airport Way S,Seattle,WA,98108,1906,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.321082 47.553357)
Medium Risk,Univ Dist,4133 University Way NE,Seattle,WA,98105,1920,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.313237 47.657333)
Medium Risk,Capitol Hill,1820 Boylston Ave,Seattle,WA,98122,1920,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32343899999998 47.61822900000001)
High Risk,Pioneer Square/Chinatown International District,114 Alaskan Way S,Seattle,WA,98104,1902,6,Visible retrofit,Other Mixed Uses,101+,Field Visit,POINT (-122.33567900000001 47.601107)
High Risk,Duwamish/SODO,526 1st Ave S,Seattle,WA,98104,1909,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.334152 47.597566)
