source,GEOID,Year,variable,mean,up,low
Census,Auburn-North,2000,Average household size,2.3770607682280214,2.442381998725365,2.311752487034317
Census,Auburn-South,2000,Average household size,2.247419940088777,2.3130580200063413,2.181825288675439
Census,Ballard,2000,Average household size,2.249254666980067,2.314459851878693,2.184023497971928
Census,Beacon/Gtown/S.Park,2000,Average household size,2.0152433423671976,2.080482256548545,1.950089157535632
Census,Bear Creek/Carnation/Duvall,2000,Average household size,2.279598555828477,2.3444829111582353,2.214683557616974
Census,Bellevue-Central,2000,Average household size,2.6395780215985973,2.705140479083695,2.573940719754765
Census,Bellevue-NE,2000,Average household size,2.298583795035213,2.364023861735486,2.2331690329172442
Census,Bellevue-South,2000,Average household size,2.9700592596158217,3.0356535433989693,2.904280605875728
Census,Bellevue-West,2000,Average household size,2.1113401547847803,2.177106958418373,2.045722273992865
Census,Black Diamond/Enumclaw/SE County,2000,Average household size,2.280850068552113,2.3459990748904183,2.215764347056235
Census,Bothell/Woodinville,2000,Average household size,1.5556081521150242,1.621036273144746,1.490340262282282
Census,Burien,2000,Average household size,2.4898005998569737,2.5550705846729436,2.4244754821704726
Census,Capitol Hill/E.lake,2000,Average household size,2.1200302350531466,2.1852982561356087,2.0547753779963602
Census,Central Seattle,2000,Average household size,2.0516610199894045,2.1090007180651846,1.9942779178937178
Census,Covington/Maple Valley,2000,Average household size,2.478819782263643,2.544033867543365,2.4136053833892515
Census,Delridge,2000,Average household size,1.9106476813687303,1.9762399195538014,1.8451600947638345
Census,Des Moines/Normandy Park,2000,Average household size,2.5387689418396864,2.604289807468821,2.473197318391371
Census,Downtown,2000,Average household size,2.0609679888397547,2.1261782560249336,1.9957903032863413
Census,East Federal Way,2000,Average household size,2.3250843962278602,2.3904579218340323,2.259748960544485
Census,Fairwood,2000,Average household size,2.745937140974293,2.811391740512049,2.6803879979292615
Census,Fed Way-Central/Military Rd,2000,Average household size,2.5447563289522255,2.6101130810688282,2.479370464565746
Census,Fed Way-Dash Point/Woodmont,2000,Average household size,2.4887464324728885,2.554286898515714,2.423183094199467
Census,Fremont/Greenlake,2000,Average household size,2.2484777178042563,2.3135961583659896,2.18331270555038
Census,Issaquah,2000,Average household size,2.5465337998977122,2.6121278694667343,2.480894939812207
Census,Kenmore/LFP,2000,Average household size,1.7980028232544112,1.8633811622703418,1.732673346628438
Census,Kent-East,2000,Average household size,2.6956266746354993,2.7609246727535357,2.6302437242745884
Census,Kent-SE,2000,Average household size,2.520657899134171,2.586004128900108,2.4552762306247393
Census,Kent-West,2000,Average household size,2.4402408652088052,2.505654038398073,2.374833837730153
Census,Kirkland,2000,Average household size,2.145171801456986,2.210389178549779,2.080005809237939
Census,Kirkland North,2000,Average household size,1.7474641707062986,1.81297278358807,1.6820884841639883
Census,Mercer Isle/Pt Cities,2000,Average household size,2.7587679723224423,2.8241608623408543,2.6932195426476135
Census,NE Seattle,2000,Average household size,2.13988475857549,2.1970913498003957,2.082624221349224
Census,Newcastle/Four Creeks,2000,Average household size,2.5847759208298684,2.650128111648843,2.5193785329849185
Census,North Highline,2000,Average household size,2.7047259938557877,2.7703890346246025,2.6388887080923786
Census,North Seattle,2000,Average household size,2.1347984332019347,2.191987938616269,2.0775104830951707
Census,NW Seattle,2000,Average household size,2.2063126973230727,2.271571973640881,2.1410064849342
Census,QA/Magnolia,2000,Average household size,2.183172388512259,2.247895708613312,2.1184506740016293
Census,Redmond,2000,Average household size,2.2274970889492454,2.2928438269217177,2.162155471149175
Census,Renton-East,2000,Average household size,2.538557965959953,2.6039670091728,2.473154353492032
Census,Renton-North,2000,Average household size,2.6601222337406245,2.7257379875067542,2.5944137987277816
Census,Renton-South,2000,Average household size,2.669856709173855,2.7350055038612693,2.6046241702944966
Census,Sammamish,2000,Average household size,2.4418161644936283,2.507111828375835,2.376473574002562
Census,SE Seattle,2000,Average household size,1.7190962166377102,1.7849048095363487,1.6535462530751892
Census,SeaTac/Tukwila,2000,Average household size,2.5258376131499003,2.591020187154765,2.4605792504108206
Census,Shoreline,2000,Average household size,1.70762919346032,1.7723704221156655,1.6430003677657175
Census,Snoqualmie/North Bend/Skykomish,2000,Average household size,2.435206351197419,2.5005033355712,2.3698997849229486
Census,Vashon Island,2000,Average household size,2.441412945358679,2.5070145544476894,2.3757594660063055
Census,West Seattle,2000,Average household size,1.906875397585035,1.9721756055134392,1.8417096013416019
NA,Auburn-North,2001,Average household size,2.446301114290067,2.934111210412589,1.9728022184740088
NA,Auburn-South,2001,Average household size,2.316734424893155,2.8046613719806777,1.8432056305825641
NA,Ballard,2001,Average household size,2.3186728704284674,2.8064542661789655,1.845224565811827
