source,GEOID,Year,variable,mean,up,low
Census,Auburn-North,2000,Average household size among owners,2.5040373986922746,2.568149257935094,2.4399477897637913
Census,Auburn-South,2000,Average household size among owners,2.3574757743051897,2.421927978734966,2.2931696244201802
Census,Ballard,2000,Average household size among owners,2.3279879854111405,2.392133402480175,2.26384051010823
Census,Beacon/Gtown/S.Park,2000,Average household size among owners,2.272845580471116,2.3368512973795426,2.2089467866944346
Census,Bear Creek/Carnation/Duvall,2000,Average household size among owners,2.356764245688091,2.4134100677591177,2.300175516320518
Census,Bellevue-Central,2000,Average household size among owners,2.74136399107301,2.805632977029179,2.6769492437681377
Census,Bellevue-NE,2000,Average household size among owners,2.4300696615987065,2.494216348950547,2.3660462183475537
Census,Bellevue-South,2000,Average household size among owners,3.1166722027230773,3.1810982470679887,3.0516139566556273
Census,Bellevue-West,2000,Average household size among owners,2.3065891532622524,2.371204848612398,2.2423544748504303
Census,Black Diamond/Enumclaw/SE County,2000,Average household size among owners,2.5338641716943004,2.597908612969176,2.4698114315465065
Census,Bothell/Woodinville,2000,Average household size among owners,1.8616022887312722,1.926301187026664,1.7972748502566416
Census,Burien,2000,Average household size among owners,2.5544014858264488,2.618476026956894,2.4902349129515002
Census,Capitol Hill/E.lake,2000,Average household size among owners,2.3535669132788857,2.4175504375270047,2.2895434121790847
Census,Central Seattle,2000,Average household size among owners,2.284930596819365,2.3415899130122986,2.228254140611156
Census,Covington/Maple Valley,2000,Average household size among owners,2.6225848628694006,2.686492215200964,2.5586120213760903
Census,Delridge,2000,Average household size among owners,2.1786117192191026,2.2430979633811163,2.114303501921514
Census,Des Moines/Normandy Park,2000,Average household size among owners,2.6139023075158168,2.6780783939267496,2.549657496178593
Census,Downtown,2000,Average household size among owners,2.2714801274875107,2.3355618002788234,2.2074560124123987
Census,East Federal Way,2000,Average household size among owners,2.4352492150677865,2.4993841218169615,2.371247987057974
Census,Fairwood,2000,Average household size among owners,2.6851610538041855,2.7492575337091334,2.620968798076132
