source,GEOID,Year,variable,mean,up,low
Census,Auburn-North,2000,Average household size among renters,2.1445458477613566,2.2724822802028783,2.016691453535001
Census,Auburn-South,2000,Average household size among renters,2.08261820129328,2.211151678424114,1.9541907221179513
Census,Ballard,2000,Average household size among renters,2.071085027498063,2.199413090684255,1.9426286876496233
Census,Beacon/Gtown/S.Park,2000,Average household size among renters,1.78026377943199,1.9080990812082463,1.652768144227615
Census,Bear Creek/Carnation/Duvall,2000,Average household size among renters,2.1775143302434294,2.2862801832722086,2.0688190252529397
Census,Bellevue-Central,2000,Average household size among renters,2.472437394060104,2.6007719222617474,2.3438504871948798
Census,Bellevue-NE,2000,Average household size among renters,2.061563863142259,2.1893140932603337,1.9339484024422935
Census,Bellevue-South,2000,Average household size among renters,2.7764075507717547,2.904457485216195,2.647842239328277
Census,Bellevue-West,2000,Average household size among renters,1.8512834853172064,1.9798804857970813,1.7231153006867772
Census,Black Diamond/Enumclaw/SE County,2000,Average household size among renters,1.9624477489066743,2.0714571106310444,1.8538564557069668
Census,Bothell/Woodinville,2000,Average household size among renters,1.4936796895225095,1.6223973262677065,1.3654466907627285
Census,Burien,2000,Average household size among renters,2.307221263031655,2.4351839090950467,2.1790853003076323
Census,Capitol Hill/E.lake,2000,Average household size among renters,1.8945420974900005,2.022484201096754,1.7666929397046585
Census,Central Seattle,2000,Average household size among renters,1.9512275048339411,2.0637428341739317,1.8385145861856098
Census,Covington/Maple Valley,2000,Average household size among renters,2.255552305739595,2.364264112665374,2.147041325400655
Census,Delridge,2000,Average household size among renters,1.7289174482720273,1.8576531427120582,1.6005761427993006
Census,Des Moines/Normandy Park,2000,Average household size among renters,2.3334934293424765,2.461556535737859,2.2052825802117515
Census,Downtown,2000,Average household size among renters,1.9412465480393561,2.0692896609588196,1.813245965057228
Census,East Federal Way,2000,Average household size among renters,2.0808792784598893,2.2087716959071915,1.9531385256151086
Census,Fairwood,2000,Average household size among renters,3.0782135876179577,3.2064402573576953,2.9492041706586405
Census,Fed Way-Central/Military Rd,2000,Average household size among renters,2.2782574016814907,2.406987647283984,2.1494482337831564
Census,Fed Way-Dash Point/Woodmont,2000,Average household size among renters,2.193632309548697,2.321828248212132,2.0654666912301054
Census,Fremont/Greenlake,2000,Average household size among renters,2.06291404659079,2.1905303025799303,1.9351841463137707
Census,Issaquah,2000,Average household size among renters,2.4611572863653595,2.5890115524604096,2.3330410922172242
Census,Kenmore/LFP,2000,Average household size among renters,1.714859883263874,1.8430819038235724,1.586831593534215
Census,Kent-East,2000,Average household size among renters,2.7713243891293518,2.899147872972367,2.6430425047848423
Census,Kent-SE,2000,Average household size among renters,2.386450869858651,2.5140917445311,2.258645322678608
Census,Kent-West,2000,Average household size among renters,2.146005371000904,2.2737475015351754,2.0183558364742478
Census,Kirkland,2000,Average household size among renters,1.9683988286226528,2.0960933477112977,1.8408721646995267
Census,Kirkland North,2000,Average household size among renters,1.687543942804602,1.8154996378789576,1.5599300807891217
Census,Mercer Isle/Pt Cities,2000,Average household size among renters,2.7885211845393716,2.9167798229919857,2.65966219875781
Census,NE Seattle,2000,Average household size among renters,2.0690889607493026,2.168504410061829,1.9695754184631549
Census,Newcastle/Four Creeks,2000,Average household size among renters,2.3028976207568426,2.411577716327216,2.1943818634230428
Census,North Highline,2000,Average household size among renters,2.789126896057565,2.9177862881727865,2.6597551662369185
Census,North Seattle,2000,Average household size among renters,2.0782037462762153,2.177485996751038,1.9787729772699048
Census,NW Seattle,2000,Average household size among renters,2.0578337922442587,2.185855884771521,1.9296685061985728
Census,QA/Magnolia,2000,Average household size among renters,1.8773006787488509,2.005321729108998,1.7493857057718518
Census,Redmond,2000,Average household size among renters,2.0114064987062417,2.120289071067729,1.9027774460861433
Census,Renton-East,2000,Average household size among renters,2.439317108198454,2.5674371294529177,2.311086775832141
Census,Renton-North,2000,Average household size among renters,2.563962693092727,2.691825468840742,2.435800004284432
Census,Renton-South,2000,Average household size among renters,2.4488307001921994,2.5762366319850907,2.3212111581851214
Census,Sammamish,2000,Average household size among renters,2.05730626963554,2.185192268219243,1.929522489716923
Census,SE Seattle,2000,Average household size among renters,1.5826436272752573,1.7114837145402517,1.4544732636379485
Census,SeaTac/Tukwila,2000,Average household size among renters,2.278797406894732,2.406234440051363,2.151238240745175
Census,Shoreline,2000,Average household size among renters,1.655367260834423,1.7831397321057072,1.5278601495187591
Census,Snoqualmie/North Bend/Skykomish,2000,Average household size among renters,2.134290174898454,2.2431475647045542,2.025685963861499
Census,Vashon Island,2000,Average household size among renters,2.223022610666385,2.3513579883468636,2.094584498348424
Census,West Seattle,2000,Average household size among renters,1.7765378092735786,1.904896453586877,1.6485522683737328
NA,Auburn-North,2001,Average household size among renters,2.1828970020288074,2.663659490217817,1.720504789604327
NA,Auburn-South,2001,Average household size among renters,2.1209692878038875,2.6019214034630918,1.6583967394492527
NA,Ballard,2001,Average household size among renters,2.1094686326144862,2.590479426607544,1.647088512379872
NA,Beacon/Gtown/S.Park,2001,Average household size among renters,1.8187287846920133,2.2992380408800597,1.3563101074357264
NA,Bear Creek/Carnation/Duvall,2001,Average household size among renters,2.2160002963635552,2.689755421390971,1.7568125129715753
NA,Bellevue-Central,2001,Average household size among renters,2.5106443774441995,2.9918246077786756,2.048341895062368
NA,Bellevue-NE,2001,Average household size among renters,2.0997386513055827,2.5804780595530215,1.6374213659095456
NA,Bellevue-South,2001,Average household size among renters,2.814678419249029,3.295929498561268,2.352535196207953
NA,Bellevue-West,2001,Average household size among renters,1.8895885981863878,2.3704343948237847,1.4270556018209268
NA,Black Diamond/Enumclaw/SE County,2001,Average household size among renters,2.0008259366467143,2.474471110408595,1.5415463746723161
NA,Bothell/Woodinville,2001,Average household size among renters,1.5320694186372719,2.0126541785210805,1.069308456025023
NA,Burien,2001,Average household size among renters,2.345548442155033,2.8264968253366223,1.883279507741299
NA,Capitol Hill/E.lake,2001,Average household size among renters,1.9328787453752925,2.4136391772418144,1.4705238457613845
NA,Central Seattle,2001,Average household size among renters,1.989619553584778,2.468039360623166,1.5373891612501724
NA,Covington/Maple Valley,2001,Average household size among renters,2.293874186535602,2.767653299905681,1.8347623752797744
NA,Delridge,2001,Average household size among renters,1.7673585382587162,2.248092589440346,1.3046562245613282
NA,Des Moines/Normandy Park,2001,Average household size among renters,2.3718750526018337,2.85290291474655,1.9095672862338635
NA,Downtown,2001,Average household size among renters,1.979682965701221,2.4604832338693123,1.517302966662727
NA,East Federal Way,2001,Average household size among renters,2.119216769117852,2.6000241995512057,1.656837748268785
NA,Fairwood,2001,Average household size among renters,3.116555051447402,3.5979799326797623,2.6545157201391576
NA,Fed Way-Central/Military Rd,2001,Average household size among renters,2.316644308228634,2.797713964329034,1.8541336134741147
NA,Fed Way-Dash Point/Woodmont,2001,Average household size among renters,2.232036018767181,2.71299156945861,1.7696253928201275
NA,Fremont/Greenlake,2001,Average household size among renters,2.101257039207095,2.5820039899253917,1.6390532721682114
NA,Issaquah,2001,Average household size among renters,2.4995031081758183,2.98054829026179,2.0372769868587373
NA,Kenmore/LFP,2001,Average household size among renters,1.7532698906821886,2.2339980949984986,1.290731974750143
NA,Kent-East,2001,Average household size among renters,2.809590841454678,3.2907054266780955,2.3475405049584226
NA,Kent-SE,2001,Average household size among renters,2.4248449778879215,2.905746036218803,1.9626129264284222
NA,Kent-West,2001,Average household size among renters,2.184416273161617,2.6652375303461247,1.7221420309117543
NA,Kirkland,2001,Average household size among renters,2.006780234765215,2.487452014404558,1.5444632894478043
NA,Kirkland North,2001,Average household size among renters,1.7259251083312834,2.206470312435416,1.2634270815820567
NA,Mercer Isle/Pt Cities,2001,Average household size among renters,2.8268330303742233,3.308108364147002,2.3646530025116217
NA,NE Seattle,2001,Average household size among renters,2.107510532362814,2.581045829690436,1.6553828044363577
NA,Newcastle/Four Creeks,2001,Average household size among renters,2.3410494066631755,2.8148807471574595,1.8819656469083248
NA,North Highline,2001,Average household size among renters,2.827390439053495,3.3089347886741494,2.365067668841446
NA,North Seattle,2001,Average household size among renters,2.1165882217774725,2.5901597190970977,1.6644501671756775
NA,NW Seattle,2001,Average household size among renters,2.09622096827026,2.577123972337618,1.6339058189560027
NA,QA/Magnolia,2001,Average household size among renters,1.9156412843196984,2.3963021346449027,1.4532578443524864
NA,Redmond,2001,Average household size among renters,2.0498065734738087,2.52348978446677,1.5905448537619817
NA,Renton-East,2001,Average household size among renters,2.477649119752918,2.9586537701629925,2.0154422120814357
