Year,GEOID,pop,hh,average_hhsize
2020,Auburn-North,42679.620819439275,16658.941420258125,2.561964757708955
2020,Auburn-South,26075.687367818886,9972.9576656028,2.614639331896009
2020,Ballard,59047.77587981984,26284.966091143844,2.2464467207250736
2020,Beacon/Gtown/S.Park,44672.96317085784,17881.182201703014,2.4983226873334563
2020,Bear Creek/Carnation/Duvall,85914.90786724964,33898.59520520967,2.5344680907026467
2020,Bellevue-Central,39122.9679548347,16186.698494604436,2.416982559344988
2020,Bellevue-NE,37641.20436505923,15987.2862124871,2.354446143314744
2020,Bellevue-South,30725.938601762602,12519.364669723129,2.4542729932670073
2020,Bellevue-West,32331.143371301067,14315.686151862492,2.258441756010049
2020,Black Diamond/Enumclaw/SE County,56342.093206873345,23299.02906308963,2.418216358042602
2020,Bothell/Woodinville,37233.0654398711,15304.797505808638,2.432770863236839
2020,Burien,47204.15655641548,18944.16707007425,2.491751491728713
2020,Capitol Hill/E.lake,54816.195038290265,25458.542394786666,2.1531552823509403
2020,Central Seattle,51322.45651998406,21931.93361244098,2.34007896553504
2020,Covington/Maple Valley,62584.649097554175,24359.17887327535,2.56924297092035
2020,Delridge,34629.73039305451,13420.584624093126,2.5803444010096213
2020,Des Moines/Normandy Park,37331.255880552075,15461.089081816272,2.414529512313413
2020,Downtown,56934.76824033854,28233.43465522334,2.0165725118323605
2020,East Federal Way,42014.12599927906,16311.447352059828,2.575744818498493
2020,Fairwood,25876.1669208815,10408.739618533273,2.4860038649451575
2020,Fed Way-Central/Military Rd,62819.74976190803,24001.21117844724,2.617357486455488
2020,Fed Way-Dash Point/Woodmont,33919.54162679277,13276.490451345653,2.554857531898034
2020,Fremont/Greenlake,59448.3906058276,26126.29436100713,2.2754237468346408
2020,Issaquah,19936.740383501976,8306.053191915567,2.400266398836305
2020,Kenmore/LFP,38334.05197861257,16154.783571435317,2.372922658425109
2020,Kent-East,37266.27085765515,14279.9548985565,2.609691075524492
2020,Kent-SE,56211.652244736615,21285.20362288125,2.6408792342634673
2020,Kent-West,28070.65433310849,10833.640418230894,2.59106387598679
2020,Kirkland,52317.68445382236,22255.759215881328,2.3507481342846916
2020,Kirkland North,35564.61188144257,14841.596298934383,2.396279427435719
2020,Mercer Isle/Pt Cities,30652.56308016418,12930.058032108236,2.370643890696158
2020,NE Seattle,79549.74459969017,30131.04068748835,2.6401260223554943
2020,Newcastle/Four Creeks,42939.502367270914,17717.551561182187,2.4235573532263968
2020,North Highline,19831.154437003654,7641.325042783318,2.5952507354379266
2020,North Seattle,48969.385770414316,21161.86415543119,2.314039321429361
2020,NW Seattle,48815.530928945875,21536.18943693638,2.266674477018814
2020,QA/Magnolia,68252.66505820266,30883.755583854174,2.2099859219804445
2020,Redmond,56425.736180033906,23226.878467933017,2.429329290112538
2020,Renton-East,30758.06066925281,12122.09695062902,2.537354782305776
2020,Renton-North,33564.80328266966,13818.900040345276,2.4289055702461697
2020,Renton-South,58730.392511213286,23232.109242110288,2.5279836582706476
2020,Sammamish,44240.91827140368,16663.963207657955,2.6548857387702753
2020,SE Seattle,46109.205560008864,18665.62520454461,2.470273835177106
2020,SeaTac/Tukwila,51662.961393699305,20180.651336971132,2.560024477458381
2020,Shoreline,54911.493812204266,23918.062554989858,2.2958169661927097
2020,Snoqualmie/North Bend/Skykomish,55819.58362060915,21137.18065496314,2.640824456761331
2020,Vashon Island,10844.230211843838,5036.928003687265,2.1529452483548224
2020,West Seattle,56757.48398160374,25664.241859621336,2.211539475510584
2025,Auburn-North,45672.999524561186,18225.530955290353,2.5059900661661447
2025,Auburn-South,27881.191857520877,10825.499522980805,2.575510885048174
2025,Ballard,60973.137699535684,26836.754098955695,2.2720012068042292
2025,Beacon/Gtown/S.Park,47310.54555802537,19043.951250166872,2.484282013566424
2025,Bear Creek/Carnation/Duvall,89765.0488398425,36406.743012310944,2.4656160208972397
2025,Bellevue-Central,41132.91834264533,16823.331481525947,2.44499244325146
2025,Bellevue-NE,38978.15585480033,16513.019973249302,2.3604498703413435
2025,Bellevue-South,32066.700631805255,13412.741623119493,2.3907640609830283
2025,Bellevue-West,33571.570570377335,14714.296197229176,2.281561423012481
2025,Black Diamond/Enumclaw/SE County,58865.78335269668,24931.789724854803,2.361073312519264
2025,Bothell/Woodinville,39079.91826184121,16149.64342511982,2.419862608300979
2025,Burien,49775.65593028297,20043.915439120166,2.4833299702080507
2025,Capitol Hill/E.lake,57417.071077775254,26156.676851874487,2.1951210164398436
2025,Central Seattle,54502.219938512986,23247.7012390546,2.344413298247005
2025,Covington/Maple Valley,66434.17009944432,26609.044902315287,2.4966762370964997
2025,Delridge,37075.05042961812,14412.750401447312,2.5723785812522695
2025,Des Moines/Normandy Park,38916.97610048111,16122.487736719659,2.4138319554646657
2025,Downtown,59064.85208969897,28713.35811012471,2.0570513509136337
2025,East Federal Way,44975.83425697697,17861.199697988108,2.518074654416582
2025,Fairwood,27324.752370153878,11175.811643191348,2.4449904170316765
2025,Fed Way-Central/Military Rd,67376.0360411036,26169.03841053937,2.574646992530243
2025,Fed Way-Dash Point/Woodmont,36063.53559748755,14303.219298069473,2.521357943687202
2025,Fremont/Greenlake,62776.097030747784,27150.54011029114,2.3121491055330106
2025,Issaquah,20635.48494423683,8639.891312232534,2.3883963580676864
2025,Kenmore/LFP,39751.191879600425,16934.497214059433,2.3473499907985467
2025,Kent-East,40101.56600553204,15722.279302391476,2.5506203797964773
2025,Kent-SE,60418.38622685135,23329.00945555181,2.5898393303824156
2025,Kent-West,30029.163112593957,11601.332062020188,2.5884237216950114
2025,Kirkland,54493.82342786854,23124.39016353344,2.3565518070960367
2025,Kirkland North,37246.89589756371,15661.192110251697,2.3782925102605805
2025,Mercer Isle/Pt Cities,31156.30360647092,13379.41095712124,2.328675283711789
2025,NE Seattle,83093.55943120344,31817.14738140543,2.611596773121306
2025,Newcastle/Four Creeks,44694.18585100428,18667.872593087108,2.3941767133955567
2025,North Highline,21323.132653528923,8278.363416300084,2.5757666801077743
2025,North Seattle,51436.391422388675,22014.25900091825,2.336503418999621
2025,NW Seattle,50819.64259558321,22120.359620197534,2.297414846238806
2025,QA/Magnolia,71275.51377658406,31710.075204643952,2.2477245265613792
2025,Redmond,59377.5466550653,24300.088562948153,2.4435115329415678
2025,Renton-East,32561.84347696932,12924.332404402669,2.5194216968512153
2025,Renton-North,35467.774903547506,14494.419230147027,2.4469952428157917
2025,Renton-South,62546.83638549669,24809.226506631698,2.5211119084578244
2025,Sammamish,46639.137204034414,18232.063472050668,2.558083306123365
2025,SE Seattle,48829.31105180043,19824.79216151804,2.4630427726038486
2025,SeaTac/Tukwila,55203.038420274985,21746.491455201238,2.5384802203148844
2025,Shoreline,56722.62016389799,24770.76586137934,2.2899017527889804
2025,Snoqualmie/North Bend/Skykomish,59088.144654521995,22868.46347655323,2.5838266184828895
2025,Vashon Island,10754.427802306338,5056.863060121371,2.1266994329184423
2025,West Seattle,57624.78781101532,25778.05223234128,2.2354205543395924
2030,Auburn-North,48861.54153016129,19729.024073180703,2.4766324653930973
2030,Auburn-South,29852.96684451851,11710.128327910155,2.5493287527316286
2030,Ballard,62361.803968005355,27317.7615742155,2.2828299382650363
2030,Beacon/Gtown/S.Park,49957.43149108733,20183.1924571032,2.4751996790034814
2030,Bear Creek/Carnation/Duvall,94625.1069158508,39592.47964266028,2.3899767776578895
2030,Bellevue-Central,43128.26715150312,17531.156889022575,2.4600924756145783
2030,Bellevue-NE,40425.3082192179,17157.046271263094,2.3561927606925903
