GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 1-person household among Owners,0.19156198877837857,0.20210343513438722,0.1814370882057296
Auburn-South,2000,Prevalence of 1-person household among Owners,0.21348501045184828,0.22490839301140023,0.20247727592911727
Ballard,2000,Prevalence of 1-person household among Owners,0.2792599946595866,0.2929047526040219,0.26601574647743625
Beacon/Gtown/S.Park,2000,Prevalence of 1-person household among Owners,0.22653428627308814,0.23844720563391525,0.21506585620343302
Bear Creek/Carnation/Duvall,2000,Prevalence of 1-person household among Owners,0.10874445634816697,0.11539931322028592,0.10244753735567742
Bellevue-Central,2000,Prevalence of 1-person household among Owners,0.2753912801506151,0.2889060484045219,0.26224927491626726
Bellevue-NE,2000,Prevalence of 1-person household among Owners,0.18650579585940305,0.19683460617158396,0.17660256409622882
Bellevue-South,2000,Prevalence of 1-person household among Owners,0.12519823624317863,0.1327128700551327,0.11807262756375607
Bellevue-West,2000,Prevalence of 1-person household among Owners,0.25495443268632306,0.2678126245926932,0.24248284731888772
Black Diamond/Enumclaw/SE County,2000,Prevalence of 1-person household among Owners,0.15311135406160228,0.16196866624804335,0.14466071905535477
Bothell/Woodinville,2000,Prevalence of 1-person household among Owners,0.2095522252192465,0.22082626203907868,0.19869648547002688
Burien,2000,Prevalence of 1-person household among Owners,0.23243821883319407,0.2445609329439769,0.22074199335125452
Capitol Hill/E.lake,2000,Prevalence of 1-person household among Owners,0.33542937234742887,0.3504591308224605,0.3207170950613221
Central Seattle,2000,Prevalence of 1-person household among Owners,0.27939123330888177,0.2930341650180731,0.266151015351817
Covington/Maple Valley,2000,Prevalence of 1-person household among Owners,0.135979073166998,0.14401332749399134,0.1283381687889587
Delridge,2000,Prevalence of 1-person household among Owners,0.254651884559154,0.2675357209828165,0.24218106199371928
Des Moines/Normandy Park,2000,Prevalence of 1-person household among Owners,0.21686606032304379,0.22841648037096082,0.20574322912104737
Downtown,2000,Prevalence of 1-person household among Owners,0.5748249123010037,0.5910598152814206,0.5583373717899941
East Federal Way,2000,Prevalence of 1-person household among Owners,0.1491240597816998,0.15779707514685132,0.14086066788525864
Fairwood,2000,Prevalence of 1-person household among Owners,0.15308786995327997,0.16194683652700861,0.14463952890129747
Fed Way-Central/Military Rd,2000,Prevalence of 1-person household among Owners,0.19112526633135318,0.2016714467479732,0.1809999979945494
Fed Way-Dash Point/Woodmont,2000,Prevalence of 1-person household among Owners,0.16547130782668842,0.17490337764898847,0.15646052153799336
Fremont/Greenlake,2000,Prevalence of 1-person household among Owners,0.2963586322122359,0.3104498059916316,0.2826398150096069
Issaquah,2000,Prevalence of 1-person household among Owners,0.24727776804885634,0.2599005566565692,0.23504353810076467
Kenmore/LFP,2000,Prevalence of 1-person household among Owners,0.18173162378576158,0.1918779595614131,0.1720175876454671
Kent-East,2000,Prevalence of 1-person household among Owners,0.16134876470314746,0.17058704017654192,0.15252600433736116
Kent-SE,2000,Prevalence of 1-person household among Owners,0.18751071988598322,0.19788049730138596,0.17755890774068603
Kent-West,2000,Prevalence of 1-person household among Owners,0.2524438339141186,0.2652206296775119,0.24005425452059717
Kirkland,2000,Prevalence of 1-person household among Owners,0.275009165515336,0.288491993839442,0.26189648123538856
Kirkland North,2000,Prevalence of 1-person household among Owners,0.19524606453220372,0.2059392537177863,0.18498050157239096
Mercer Isle/Pt Cities,2000,Prevalence of 1-person household among Owners,0.15416283071867806,0.16308556320141135,0.1456607845479289
NE Seattle,2000,Prevalence of 1-person household among Owners,0.24425376075928187,0.2567914594400386,0.23214395635866736
Newcastle/Four Creeks,2000,Prevalence of 1-person household among Owners,0.16262420782665898,0.17191046930101986,0.15375382184807848
North Highline,2000,Prevalence of 1-person household among Owners,0.236348666765928,0.2486049555507196,0.22451958823047477
North Seattle,2000,Prevalence of 1-person household among Owners,0.28678656923819457,0.30060934412170204,0.2733311488938667
NW Seattle,2000,Prevalence of 1-person household among Owners,0.29888111228976977,0.3130476842647176,0.28507702267205565
QA/Magnolia,2000,Prevalence of 1-person household among Owners,0.34270085933114264,0.3578925378848032,0.3278197307609316
Redmond,2000,Prevalence of 1-person household among Owners,0.21960724959775801,0.2312481487950995,0.20837715996024914
Renton-East,2000,Prevalence of 1-person household among Owners,0.21661897148440282,0.228155001015596,0.20550191231396814
Renton-North,2000,Prevalence of 1-person household among Owners,0.23877259352097033,0.25110018607953083,0.22684998578458615
Renton-South,2000,Prevalence of 1-person household among Owners,0.2340355203498326,0.2461903697473185,0.22229193739295763
Sammamish,2000,Prevalence of 1-person household among Owners,0.10974276030813765,0.11645026366130606,0.10339479818201783
SE Seattle,2000,Prevalence of 1-person household among Owners,0.22421300245213968,0.2360319474353073,0.21282287139016617
SeaTac/Tukwila,2000,Prevalence of 1-person household among Owners,0.262470938597581,0.2755700062191823,0.24976437669730447
Shoreline,2000,Prevalence of 1-person household among Owners,0.2217073817357897,0.2334512188313369,0.21039715702814488
Snoqualmie/North Bend/Skykomish,2000,Prevalence of 1-person household among Owners,0.14881134608475566,0.15746093996341712,0.1405610156131138
Vashon Island,2000,Prevalence of 1-person household among Owners,0.21428809827655917,0.22574805156788572,0.20325739966691794
West Seattle,2000,Prevalence of 1-person household among Owners,0.2891816027303667,0.30308594130685995,0.2756472888952463
Auburn-North,2001,Prevalence of 1-person household among Owners,0.19490838272831448,0.39308874372203007,0.08317802414682347
Auburn-South,2001,Prevalence of 1-person household among Owners,0.21713429987511065,0.42595168074797884,0.09415062149167835
Ballard,2001,Prevalence of 1-person household among Owners,0.2836036527426017,0.5143675412159461,0.12919401580319614
Beacon/Gtown/S.Park,2001,Prevalence of 1-person household among Owners,0.2303503625551535,0.4447086220974101,0.10086438798885541
