GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 1-person household,0.1731024022426377,0.1988141757038718,0.1500831765901983
Auburn-South,2000,Prevalence of 1-person household,0.18615437646773322,0.21403809426835685,0.1611343902272913
Ballard,2000,Prevalence of 1-person household,0.18996887687717576,0.2186212005240978,0.1642721750755371
Beacon/Gtown/S.Park,2000,Prevalence of 1-person household,0.2119748611837279,0.24119335580043968,0.18540139008872117
Bear Creek/Carnation/Duvall,2000,Prevalence of 1-person household,0.18812999108687764,0.21588864752279438,0.1631316561461807
Bellevue-Central,2000,Prevalence of 1-person household,0.15611015265401706,0.1808330517375221,0.1342070023239383
Bellevue-NE,2000,Prevalence of 1-person household,0.1840237043698061,0.21067716665440706,0.16013530927458963
Bellevue-South,2000,Prevalence of 1-person household,0.13810530841608948,0.15984272244527706,0.11887524703129565
Bellevue-West,2000,Prevalence of 1-person household,0.1868101100646719,0.21382473867862536,0.16261982951600756
Black Diamond/Enumclaw/SE County,2000,Prevalence of 1-person household,0.17073162242465034,0.19620770070183657,0.14794786005930433
Bothell/Woodinville,2000,Prevalence of 1-person household,0.3335414594999452,0.37427779230210934,0.29498952426863667
Burien,2000,Prevalence of 1-person household,0.17184187194676234,0.19784034204789228,0.14861268474034656
Capitol Hill/E.lake,2000,Prevalence of 1-person household,0.2012048822114054,0.22997304053323575,0.17519414778592468
Central Seattle,2000,Prevalence of 1-person household,0.23693796724791127,0.26989625858773797,0.20684398589160746
Covington/Maple Valley,2000,Prevalence of 1-person household,0.1594517972822707,0.18320077916078745,0.13825826945478412
Delridge,2000,Prevalence of 1-person household,0.22693280430305562,0.25897206131087314,0.1977611791988303
Des Moines/Normandy Park,2000,Prevalence of 1-person household,0.15114709420019826,0.1747067074436123,0.1302523501011069
Downtown,2000,Prevalence of 1-person household,0.21009798693511383,0.24018846882638814,0.18285057013579828
East Federal Way,2000,Prevalence of 1-person household,0.17743203344439276,0.20347392723572263,0.15411787021915785
Fairwood,2000,Prevalence of 1-person household,0.14218760956596607,0.1641139788806173,0.12273664163133298
Fed Way-Central/Military Rd,2000,Prevalence of 1-person household,0.1526528181969885,0.17740066656398307,0.13080424879647767
Fed Way-Dash Point/Woodmont,2000,Prevalence of 1-person household,0.14983293302561834,0.1730088787553542,0.12926885113716466
Fremont/Greenlake,2000,Prevalence of 1-person household,0.18448152457251027,0.21143604247200895,0.1602222645831388
Issaquah,2000,Prevalence of 1-person household,0.16162010543951996,0.1858162322091117,0.1400385890697659
