GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 1-person household among renters,0.3623493609401447,0.38319252874623644,0.3419709235198102
Auburn-South,2000,Prevalence of 1-person household among renters,0.29877492363065117,0.3178475182373524,0.28037899907272995
Ballard,2000,Prevalence of 1-person household among renters,0.4917663337489758,0.5141268239158258,0.46943924464151815
Beacon/Gtown/S.Park,2000,Prevalence of 1-person household among renters,0.33599820004229575,0.3562081914643472,0.3164209564152539
Bear Creek/Carnation/Duvall,2000,Prevalence of 1-person household among renters,0.2950089950872308,0.31392424124435614,0.27680824550339644
Bellevue-Central,2000,Prevalence of 1-person household among renters,0.3626371453610681,0.38354873634619613,0.34222481055745296
Bellevue-NE,2000,Prevalence of 1-person household among renters,0.3416901607546156,0.361997723768974,0.321957895528343
Bellevue-South,2000,Prevalence of 1-person household among renters,0.287838001990195,0.30650614615101535,0.26990384057543726
Bellevue-West,2000,Prevalence of 1-person household among renters,0.4374675667002652,0.4594695530754982,0.41565955969542384
Black Diamond/Enumclaw/SE County,2000,Prevalence of 1-person household among renters,0.3250868217782226,0.34494668093948466,0.30582132751023444
Bothell/Woodinville,2000,Prevalence of 1-person household among renters,0.4186000205581672,0.4405003168286396,0.3969835984779408
Burien,2000,Prevalence of 1-person household among renters,0.38792854603571586,0.4093274151873236,0.36694188463819916
Capitol Hill/E.lake,2000,Prevalence of 1-person household among renters,0.5998279226590413,0.6210218651447786,0.578201341314348
Central Seattle,2000,Prevalence of 1-person household among renters,0.46895762014264647,0.49124907437316806,0.44678786278560884
Covington/Maple Valley,2000,Prevalence of 1-person household among renters,0.2243419349974454,0.2402775366484343,0.20922431722315715
Delridge,2000,Prevalence of 1-person household among renters,0.3208003486357908,0.34062019861063947,0.3016354019964453
Des Moines/Normandy Park,2000,Prevalence of 1-person household among renters,0.3876109996187989,0.40899534023785367,0.36662332540346904
Downtown,2000,Prevalence of 1-person household among renters,0.7304458357410918,0.7477049089872101,0.7123406467427071
East Federal Way,2000,Prevalence of 1-person household among renters,0.2719884466149122,0.29001155392376954,0.2547091992961341
Fairwood,2000,Prevalence of 1-person household among renters,0.29377867774141936,0.3126273881656336,0.2756226986309821
Fed Way-Central/Military Rd,2000,Prevalence of 1-person household among renters,0.33371668217912515,0.3539226609152766,0.3140869295303289
