GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 2-person household among Owners,0.3591206731180173,0.3696162287049373,0.3487513077282809
Auburn-South,2000,Prevalence of 2-person household among Owners,0.3454450472143266,0.3557941407221425,0.33525032423019757
Ballard,2000,Prevalence of 2-person household among Owners,0.3931342373182751,0.4040328777281586,0.3823197880496161
Beacon/Gtown/S.Park,2000,Prevalence of 2-person household among Owners,0.3013770268673473,0.3111168606384022,0.29187529758323705
Bear Creek/Carnation/Duvall,2000,Prevalence of 2-person household among Owners,0.3347520405062103,0.3449674790390459,0.3247186800378957
Bellevue-Central,2000,Prevalence of 2-person household among Owners,0.37253579703930356,0.3832201456773057,0.3619650524740865
Bellevue-NE,2000,Prevalence of 2-person household among Owners,0.3855040046677695,0.3962764225081886,0.37481897295605254
Bellevue-South,2000,Prevalence of 2-person household among Owners,0.3737760781172992,0.3844563292226135,0.3632044366144502
Bellevue-West,2000,Prevalence of 2-person household among Owners,0.4015106746038397,0.4124228755801622,0.39066070541727177
Black Diamond/Enumclaw/SE County,2000,Prevalence of 2-person household among Owners,0.36755846548033433,0.3781762154896043,0.3570550445945921
Bothell/Woodinville,2000,Prevalence of 2-person household among Owners,0.3489631608998327,0.35937740094460097,0.33870338411011064
Burien,2000,Prevalence of 2-person household among Owners,0.37693981425262196,0.3876408827788624,0.3663382937289135
Capitol Hill/E.lake,2000,Prevalence of 2-person household among Owners,0.38565419551700714,0.39641327462087034,0.3749874817566224
Central Seattle,2000,Prevalence of 2-person household among Owners,0.37578731549876065,0.38645397656293007,0.36522384183006973
Covington/Maple Valley,2000,Prevalence of 2-person household among Owners,0.35335034514475766,0.36379642523947225,0.34305015541796274
Delridge,2000,Prevalence of 2-person household among Owners,0.3513672982650377,0.36178201101535035,0.3410992544608387
Des Moines/Normandy Park,2000,Prevalence of 2-person household among Owners,0.38433500636611245,0.39511822094809157,0.37363842492198257
Downtown,2000,Prevalence of 2-person household among Owners,0.371186173391328,0.3817856051208439,0.3607038763756731
East Federal Way,2000,Prevalence of 2-person household among Owners,0.34542459746523285,0.35573934652577777,0.33526333694949106
Fairwood,2000,Prevalence of 2-person household among Owners,0.3562503147217594,0.3667447327005512,0.3458933852538822
Fed Way-Central/Military Rd,2000,Prevalence of 2-person household among Owners,0.3292033565450608,0.33937100497357203,0.31921916960398916
Fed Way-Dash Point/Woodmont,2000,Prevalence of 2-person household among Owners,0.3855025550358372,0.3962989754250978,0.37478913685169457
Fremont/Greenlake,2000,Prevalence of 2-person household among Owners,0.379969883314252,0.3906900615858212,0.3693517915399831
Issaquah,2000,Prevalence of 2-person household among Owners,0.36121497753479487,0.3717413769933757,0.35081876565987813
Kenmore/LFP,2000,Prevalence of 2-person household among Owners,0.37354850659716443,0.38423160028521347,0.36297649811418237
Kent-East,2000,Prevalence of 2-person household among Owners,0.32257829254703707,0.33260930636407104,0.31274515002758324
Kent-SE,2000,Prevalence of 2-person household among Owners,0.3273002921014122,0.3373881540826435,0.3173994612532983
Kent-West,2000,Prevalence of 2-person household among Owners,0.3529036175838644,0.36330189126093176,0.3426449898435263
Kirkland,2000,Prevalence of 2-person household among Owners,0.374103905816197,0.38476294955551327,0.36355285116945885
Kirkland North,2000,Prevalence of 2-person household among Owners,0.35475157469304697,0.36519975754936346,0.34444928261756613
Mercer Isle/Pt Cities,2000,Prevalence of 2-person household among Owners,0.39314554254576195,0.40402733635421695,0.3823416695912016
NE Seattle,2000,Prevalence of 2-person household among Owners,0.3732081093488756,0.3838928776154702,0.3626377470516705
Newcastle/Four Creeks,2000,Prevalence of 2-person household among Owners,0.38478164110770796,0.3955591084556293,0.37409300244155985
North Highline,2000,Prevalence of 2-person household among Owners,0.33872381795114653,0.34895551916861894,0.32866275789787774
North Seattle,2000,Prevalence of 2-person household among Owners,0.38110494546239887,0.39183030953430276,0.3704775977997216
NW Seattle,2000,Prevalence of 2-person household among Owners,0.3849535287198284,0.39575063410453476,0.3742523389609914
QA/Magnolia,2000,Prevalence of 2-person household among Owners,0.3873034907265395,0.3981041806586255,0.37659355390885113
Redmond,2000,Prevalence of 2-person household among Owners,0.3545814460812767,0.3650394512280342,0.34426614742690886
Renton-East,2000,Prevalence of 2-person household among Owners,0.3544452217199526,0.36489823021678447,0.34413282016961
Renton-North,2000,Prevalence of 2-person household among Owners,0.3844398026867191,0.39520098404164766,0.3737665338945135
Renton-South,2000,Prevalence of 2-person household among Owners,0.34641002666425696,0.35672761793773533,0.3362454634818619
Sammamish,2000,Prevalence of 2-person household among Owners,0.32674584126319367,0.33686445814661636,0.3168228727487862
SE Seattle,2000,Prevalence of 2-person household among Owners,0.33465196025020344,0.34484655751235505,0.32463833582068086
SeaTac/Tukwila,2000,Prevalence of 2-person household among Owners,0.3330082796356229,0.34314726681296925,0.32304698597248455
Shoreline,2000,Prevalence of 2-person household among Owners,0.36272192723686,0.3733203816826768,0.352262839006227
Snoqualmie/North Bend/Skykomish,2000,Prevalence of 2-person household among Owners,0.33061976550569283,0.3407660527294272,0.32065862079834045
Vashon Island,2000,Prevalence of 2-person household among Owners,0.4360883672259321,0.44733164084090554,0.424841786679009
West Seattle,2000,Prevalence of 2-person household among Owners,0.4013647601313349,0.4123225369294872,0.39046258659786226
Auburn-North,2001,Prevalence of 2-person household among Owners,0.35934758943902584,0.3860459714584792,0.33416096620580693
Auburn-South,2001,Prevalence of 2-person household among Owners,0.34574796956238646,0.37203625712107874,0.3210412863539013
Ballard,2001,Prevalence of 2-person household among Owners,0.3933354086546953,0.4208544940673788,0.3670758695483502
Beacon/Gtown/S.Park,2001,Prevalence of 2-person household among Owners,0.30167010566462577,0.32634829063712223,0.27879717051111536
Bear Creek/Carnation/Duvall,2001,Prevalence of 2-person household among Owners,0.33511880906674096,0.36108685494358944,0.3108254947528747
Bellevue-Central,2001,Prevalence of 2-person household among Owners,0.3726691371353234,0.39971697547027507,0.3470215477258713
Bellevue-NE,2001,Prevalence of 2-person household among Owners,0.385705735766868,0.4130632699064229,0.359680267950535
Bellevue-South,2001,Prevalence of 2-person household among Owners,0.3740102796488778,0.40109558163510967,0.348320426983703
Bellevue-West,2001,Prevalence of 2-person household among Owners,0.4017183051884902,0.42938543138965424,0.37525295440547146
Black Diamond/Enumclaw/SE County,2001,Prevalence of 2-person household among Owners,0.3679345708002306,0.39487964029649314,0.3424488608172351
Bothell/Woodinville,2001,Prevalence of 2-person household among Owners,0.34926114805440217,0.3756815538990102,0.3244272405918867
Burien,2001,Prevalence of 2-person household among Owners,0.37718253917503425,0.4043424020042758,0.35140835330899106
Capitol Hill/E.lake,2001,Prevalence of 2-person household among Owners,0.3859613201994779,0.41330733347006643,0.3599396760238783
Central Seattle,2001,Prevalence of 2-person household among Owners,0.37610790043278935,0.40323227197394623,0.350382738797499
Covington/Maple Valley,2001,Prevalence of 2-person household among Owners,0.35375002965687513,0.3803067244350092,0.3287500315893207
Delridge,2001,Prevalence of 2-person household among Owners,0.3516970928167234,0.3781728483220373,0.326785817001283
Des Moines/Normandy Park,2001,Prevalence of 2-person household among Owners,0.38455475397496486,0.4118843775917144,0.3585531753127097
Downtown,2001,Prevalence of 2-person household among Owners,0.37154625600655755,0.39854829149690085,0.3459784938905669
East Federal Way,2001,Prevalence of 2-person household among Owners,0.3456781754467636,0.3719588725811746,0.3209844518720284
Fairwood,2001,Prevalence of 2-person household among Owners,0.3565387296790547,0.3831787543022206,0.3314341868981948
Fed Way-Central/Military Rd,2001,Prevalence of 2-person household among Owners,0.3294800374514017,0.3552486126487732,0.30540280498152683
Fed Way-Dash Point/Woodmont,2001,Prevalence of 2-person household among Owners,0.38576169805371985,0.41311660724651317,0.3597269199313379
Fremont/Greenlake,2001,Prevalence of 2-person household among Owners,0.38022619756689524,0.40744273216710253,0.3543577719903259
Issaquah,2001,Prevalence of 2-person household among Owners,0.3614824890633136,0.3882417164394782,0.33621767335868946
Kenmore/LFP,2001,Prevalence of 2-person household among Owners,0.37384924332973607,0.4009461973427836,0.348177661809495
Kent-East,2001,Prevalence of 2-person household among Owners,0.32287249864686834,0.3483979266285815,0.29908086678496637
Kent-SE,2001,Prevalence of 2-person household among Owners,0.3275373935559077,0.35321939089629356,0.3035481165248035
Kent-West,2001,Prevalence of 2-person household among Owners,0.3530976107499103,0.3796091019409618,0.32813929409482473
Kirkland,2001,Prevalence of 2-person household among Owners,0.3743562730475773,0.40144364492701623,0.34866781772204275
Kirkland North,2001,Prevalence of 2-person household among Owners,0.3550611803267029,0.3816408912087858,0.33002248243418597
Mercer Isle/Pt Cities,2001,Prevalence of 2-person household among Owners,0.3934059491776858,0.4209307594919423,0.3671447253991569
NE Seattle,2001,Prevalence of 2-person household among Owners,0.3733877147172846,0.4004590813845788,0.3477187078049348
Newcastle/Four Creeks,2001,Prevalence of 2-person household among Owners,0.38504096412223027,0.41239562696356113,0.359029861168963
North Highline,2001,Prevalence of 2-person household among Owners,0.3390023379087017,0.3650673875631718,0.3145660862383226
North Seattle,2001,Prevalence of 2-person household among Owners,0.3813532801500537,0.40860313788777286,0.35545713200569506
NW Seattle,2001,Prevalence of 2-person household among Owners,0.38523091076391663,0.4125770195627121,0.359209250189434
QA/Magnolia,2001,Prevalence of 2-person household among Owners,0.3875196914048264,0.41490600393638166,0.3614447501941661
Redmond,2001,Prevalence of 2-person household among Owners,0.35481349590390626,0.38139205922698105,0.32977920759109786
Renton-East,2001,Prevalence of 2-person household among Owners,0.3546249643499341,0.38118633702115634,0.32959688121484493
Renton-North,2001,Prevalence of 2-person household among Owners,0.384584287151575,0.41190727683534745,0.35859217483684297
Renton-South,2001,Prevalence of 2-person household among Owners,0.3465951553533763,0.37290566291324556,0.32187328727399755
Sammamish,2001,Prevalence of 2-person household among Owners,0.32704146663813977,0.352726242047657,0.30306095626638874
SE Seattle,2001,Prevalence of 2-person household among Owners,0.3349687515176331,0.36091259144166704,0.310684343303217
SeaTac/Tukwila,2001,Prevalence of 2-person household among Owners,0.3332073880609548,0.3590744842235104,0.3090011527453454
Shoreline,2001,Prevalence of 2-person household among Owners,0.36301818546625136,0.38982976270337405,0.3376819751668225
Snoqualmie/North Bend/Skykomish,2001,Prevalence of 2-person household among Owners,0.3308843886205007,0.3566930529389747,0.30675503611607247
Vashon Island,2001,Prevalence of 2-person household among Owners,0.4364057290661711,0.4645845052507688,0.409145115821925
West Seattle,2001,Prevalence of 2-person household among Owners,0.40158094333335753,0.42926495067815235,0.3751155867401267
Auburn-North,2002,Prevalence of 2-person household among Owners,0.35908872688691307,0.38483049861763596,0.33435550369377764
Auburn-South,2002,Prevalence of 2-person household among Owners,0.3454936629551658,0.37084020011549895,0.3212330058924728
Ballard,2002,Prevalence of 2-person household among Owners,0.39306670421166057,0.41960345768862645,0.36726860242492493
Beacon/Gtown/S.Park,2002,Prevalence of 2-person household among Owners,0.3014333868855418,0.32522241223425147,0.2789853671556905
Bear Creek/Carnation/Duvall,2002,Prevalence of 2-person household among Owners,0.3348682749719707,0.3599009847951656,0.3110237478833171
Bellevue-Central,2002,Prevalence of 2-person household among Owners,0.37240607109316964,0.39848595155570116,0.3472140026181792
Bellevue-NE,2002,Prevalence of 2-person household among Owners,0.38543908421475487,0.4118181133570855,0.3598751938967256
Bellevue-South,2002,Prevalence of 2-person household among Owners,0.37374686748949826,0.3998594172521143,0.348516133715616
Bellevue-West,2002,Prevalence of 2-person household among Owners,0.40144777350932487,0.42812733892921456,0.37544526326953376
Black Diamond/Enumclaw/SE County,2002,Prevalence of 2-person household among Owners,0.3676730194297105,0.39365097966785295,0.3426471005192778
Bothell/Woodinville,2002,Prevalence of 2-person household among Owners,0.34900552787634864,0.3744785205005983,0.3246237358534119
Burien,2002,Prevalence of 2-person household among Owners,0.3769182760106799,0.40310650200273596,0.35160241447428675
Capitol Hill/E.lake,2002,Prevalence of 2-person household among Owners,0.3856945358250382,0.4120669877718931,0.3601290918609238
Central Seattle,2002,Prevalence of 2-person household among Owners,0.37584382949994594,0.4020023366647273,0.3505731404942569
Covington/Maple Valley,2002,Prevalence of 2-person household among Owners,0.3534929743936735,0.3790922423948266,0.3289504282097665
Delridge,2002,Prevalence of 2-person household among Owners,0.3514406684695679,0.3769698853599858,0.3269783552584142
Des Moines/Normandy Park,2002,Prevalence of 2-person household among Owners,0.38428850105651324,0.4106405080899601,0.35874740156798857
Downtown,2002,Prevalence of 2-person household among Owners,0.3712834831093844,0.3973270757559108,0.34616515494583505
East Federal Way,2002,Prevalence of 2-person household among Owners,0.3454239032374819,0.3707630115781847,0.32117571303053694
Fairwood,2002,Prevalence of 2-person household among Owners,0.356280730975437,0.3819604284683823,0.3316348444212822
Fed Way-Central/Military Rd,2002,Prevalence of 2-person household among Owners,0.32923173599590483,0.35407409042186455,0.30559780420089827
Fed Way-Dash Point/Woodmont,2002,Prevalence of 2-person household among Owners,0.3854951398187494,0.4118732735109597,0.3599200480081844
Fremont/Greenlake,2002,Prevalence of 2-person household among Owners,0.37996092389099506,0.4062060454202018,0.3545474872131219
Issaquah,2002,Prevalence of 2-person household among Owners,0.36122285922713776,0.3870224021278342,0.33641264357507744
Kenmore/LFP,2002,Prevalence of 2-person household among Owners,0.37358583271683793,0.39971118391032107,0.3483759034887563
Kent-East,2002,Prevalence of 2-person household among Owners,0.3226267847253577,0.34723277629542904,0.2992757481127014
