GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 3-person household among renters,0.1570455878295815,0.16664381970573566,0.14790975022093436
Auburn-South,2000,Prevalence of 3-person household among renters,0.17520704011053928,0.18565351749230374,0.16522570033175746
Ballard,2000,Prevalence of 3-person household among renters,0.10170283956182215,0.1083761349964151,0.09539165943443309
Beacon/Gtown/S.Park,2000,Prevalence of 3-person household among renters,0.14941173011403705,0.15856203574338512,0.14068084167486583
Bear Creek/Carnation/Duvall,2000,Prevalence of 3-person household among renters,0.16950214039935763,0.1796497435321394,0.15980338359752577
Bellevue-Central,2000,Prevalence of 3-person household among renters,0.16122623534937477,0.1710251950791885,0.15187976198299274
Bellevue-NE,2000,Prevalence of 3-person household among renters,0.16563514547195798,0.17556807898241208,0.15614373208258014
Bellevue-South,2000,Prevalence of 3-person household among renters,0.16537432832472018,0.17535091421647753,0.15584650107511389
Bellevue-West,2000,Prevalence of 3-person household among renters,0.11603892366933019,0.1235074261679099,0.10898439731046287
Black Diamond/Enumclaw/SE County,2000,Prevalence of 3-person household among renters,0.16940290831085525,0.17957472010196235,0.15969480423646945
Bothell/Woodinville,2000,Prevalence of 3-person household among renters,0.1355947240837176,0.1441302088879553,0.12749405227417612
Burien,2000,Prevalence of 3-person household among renters,0.14382575283021193,0.15276426111166402,0.1353234556852857
Capitol Hill/E.lake,2000,Prevalence of 3-person household among renters,0.05225993195905462,0.0559080089854753,0.048851457491110355
Central Seattle,2000,Prevalence of 3-person household among renters,0.11378948370032849,0.12112819254858337,0.10682816122520113
Covington/Maple Valley,2000,Prevalence of 3-person household among renters,0.18932764905761812,0.20035701181527404,0.17875321773635217
Delridge,2000,Prevalence of 3-person household among renters,0.15550644201035224,0.16500534241270493,0.1464467957171541
Des Moines/Normandy Park,2000,Prevalence of 3-person household among renters,0.13929790082675567,0.14800712529382315,0.13102781719899448
Downtown,2000,Prevalence of 3-person household among renters,0.032439769339479875,0.03477540814812629,0.030271672199627106
East Federal Way,2000,Prevalence of 3-person household among renters,0.1874789612121082,0.19844636101890095,0.17696854791719102
Fairwood,2000,Prevalence of 3-person household among renters,0.17416566574238293,0.18452595220846454,0.1642622128094443
Fed Way-Central/Military Rd,2000,Prevalence of 3-person household among renters,0.1666929084148155,0.17679589293056,0.15705733389116835
Fed Way-Dash Point/Woodmont,2000,Prevalence of 3-person household among renters,0.16721598644537072,0.17728292869173284,0.1576070621026186
Fremont/Greenlake,2000,Prevalence of 3-person household among renters,0.1023522862481544,0.10903861923724407,0.09602539839233508
Issaquah,2000,Prevalence of 3-person household among renters,0.12966709989561476,0.1378560463754254,0.1219108614182776
Kenmore/LFP,2000,Prevalence of 3-person household among renters,0.15190233829789898,0.16123449449552946,0.1430082478336074
Kent-East,2000,Prevalence of 3-person household among renters,0.18076065943765737,0.1914541152765483,0.1705275999863674
Kent-SE,2000,Prevalence of 3-person household among renters,0.1677847773097028,0.1778815193742507,0.15815075293713518
Kent-West,2000,Prevalence of 3-person household among renters,0.16002304126634379,0.16973311899974394,0.1507670215449908
Kirkland,2000,Prevalence of 3-person household among renters,0.12828563488276054,0.13639560119306013,0.12059364016207513
Kirkland North,2000,Prevalence of 3-person household among renters,0.14829611938827497,0.15744674421024019,0.13958276639343548
Mercer Isle/Pt Cities,2000,Prevalence of 3-person household among renters,0.124875402104615,0.13281617008598673,0.11734991925619188
NE Seattle,2000,Prevalence of 3-person household among renters,0.11600305148332367,0.12346990151632907,0.10892196708311075
Newcastle/Four Creeks,2000,Prevalence of 3-person household among renters,0.157080532668841,0.16659680490824363,0.14800780609123063
North Highline,2000,Prevalence of 3-person household among renters,0.1713229385799707,0.1815976311636119,0.16149497000136132
North Seattle,2000,Prevalence of 3-person household among renters,0.1174442614849135,0.12497304073003067,0.11031462882405708
NW Seattle,2000,Prevalence of 3-person household among renters,0.11810134257477489,0.1256850307814753,0.11091327379888749
QA/Magnolia,2000,Prevalence of 3-person household among renters,0.06634734832946187,0.07089027953681938,0.06207920253197697
Redmond,2000,Prevalence of 3-person household among renters,0.1432700543722286,0.15217546666340076,0.1348059674304564
Renton-East,2000,Prevalence of 3-person household among renters,0.1513071942423543,0.16061374252351168,0.14244771527976166
Renton-North,2000,Prevalence of 3-person household among renters,0.12642136405669732,0.13447655565939123,0.1187916567599773
Renton-South,2000,Prevalence of 3-person household among renters,0.14933406565013757,0.15851322145831193,0.1406004050714593
Sammamish,2000,Prevalence of 3-person household among renters,0.15681287872358332,0.16634841443422949,0.14772517053830175
SE Seattle,2000,Prevalence of 3-person household among renters,0.16966130476712446,0.17984851876140556,0.1599180955101827
SeaTac/Tukwila,2000,Prevalence of 3-person household among renters,0.148210345426492,0.1573265066205755,0.13953359218057043
Shoreline,2000,Prevalence of 3-person household among renters,0.1388410571205833,0.14752810657857435,0.1305801535416696
