GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 4+-person household among Owners,0.0710630888694808,0.07590401124137587,0.06650787973693037
Auburn-South,2000,Prevalence of 4+-person household among Owners,0.0680378968291244,0.07269486109733168,0.06365822247580456
Ballard,2000,Prevalence of 4+-person household among Owners,0.04120492779322311,0.04411036762592962,0.03848210136537508
Beacon/Gtown/S.Park,2000,Prevalence of 4+-person household among Owners,0.07671988747656709,0.08190054365448085,0.07183032057801932
Bear Creek/Carnation/Duvall,2000,Prevalence of 4+-person household among Owners,0.09084008710731648,0.09687914833592534,0.08513417080177835
Bellevue-Central,2000,Prevalence of 4+-person household among Owners,0.04826863144481378,0.051647599060606605,0.04510169838653601
Bellevue-NE,2000,Prevalence of 4+-person household among Owners,0.06333911240012412,0.067689158757248,0.05924959055899722
Bellevue-South,2000,Prevalence of 4+-person household among Owners,0.07763873941042247,0.08287833509622726,0.07269868656613428
Bellevue-West,2000,Prevalence of 4+-person household among Owners,0.05007735611331657,0.053572413838301004,0.04680093137432014
Black Diamond/Enumclaw/SE County,2000,Prevalence of 4+-person household among Owners,0.07432421793083586,0.07936885079460083,0.06957371043522445
Bothell/Woodinville,2000,Prevalence of 4+-person household among Owners,0.06669214975450205,0.07126283591217537,0.062393281842387995
Burien,2000,Prevalence of 4+-person household among Owners,0.05797193861086634,0.06198336510428115,0.05420387078708231
Capitol Hill/E.lake,2000,Prevalence of 4+-person household among Owners,0.03768222117060888,0.04034816910110483,0.03518425668042711
Central Seattle,2000,Prevalence of 4+-person household among Owners,0.045441143748150746,0.04862918392573598,0.04244961941130527
Covington/Maple Valley,2000,Prevalence of 4+-person household among Owners,0.08012273797380268,0.08551884605460304,0.07503499763303902
Delridge,2000,Prevalence of 4+-person household among Owners,0.05797982246527379,0.06199334266437784,0.0542088911408863
Des Moines/Normandy Park,2000,Prevalence of 4+-person household among Owners,0.05918652112842961,0.0632764001533179,0.055344841350579356
Downtown,2000,Prevalence of 4+-person household among Owners,0.003206260381099235,0.00344500214902867,0.0029855517700734333
East Federal Way,2000,Prevalence of 4+-person household among Owners,0.08046655591827921,0.08588144197634688,0.07536080451180484
Fairwood,2000,Prevalence of 4+-person household among Owners,0.07561741669156564,0.0807441724772533,0.07078772127175242
Fed Way-Central/Military Rd,2000,Prevalence of 4+-person household among Owners,0.07644618965121514,0.08162503880076173,0.07156806099688512
Fed Way-Dash Point/Woodmont,2000,Prevalence of 4+-person household among Owners,0.06882784536642342,0.07353056321798666,0.06440322532423139
Fremont/Greenlake,2000,Prevalence of 4+-person household among Owners,0.039648119874536814,0.04244636400682932,0.037026913614238155
Issaquah,2000,Prevalence of 4+-person household among Owners,0.05889080877134804,0.06296030292759373,0.05506952707842067
Kenmore/LFP,2000,Prevalence of 4+-person household among Owners,0.06421536387681304,0.06862431036902737,0.06006851700463789
Kent-East,2000,Prevalence of 4+-person household among Owners,0.0838673018062296,0.08949407449053275,0.07855851302560012
Kent-SE,2000,Prevalence of 4+-person household among Owners,0.07744772150880916,0.08268150766094902,0.07251617722391555
Kent-West,2000,Prevalence of 4+-person household among Owners,0.057682266822623354,0.06167318267949103,0.0539366023049809
Kirkland,2000,Prevalence of 4+-person household among Owners,0.048576745491292005,0.051973159748275655,0.0453930263922418
Kirkland North,2000,Prevalence of 4+-person household among Owners,0.06579378319568518,0.07030002396867054,0.061554527028149564
Mercer Isle/Pt Cities,2000,Prevalence of 4+-person household among Owners,0.07266459307462847,0.07760073063650991,0.06801466274505595
