GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 4+-person household among renters,0.049544471191323894,0.054670339226758284,0.044881238389237826
Auburn-South,2000,Prevalence of 4+-person household among renters,0.0613038337513137,0.0675683619943211,0.05558450973787798
Ballard,2000,Prevalence of 4+-person household among renters,0.015735157868722722,0.017435328225144254,0.014198587654034419
Beacon/Gtown/S.Park,2000,Prevalence of 4+-person household among renters,0.06264118504683554,0.06900747059424071,0.05680787958178546
Bear Creek/Carnation/Duvall,2000,Prevalence of 4+-person household among renters,0.0550359216378457,0.060678130653011204,0.049884086704947976
Bellevue-Central,2000,Prevalence of 4+-person household among renters,0.04000719783853632,0.04419863820191551,0.03619821682424301
Bellevue-NE,2000,Prevalence of 4+-person household among renters,0.04146329436626938,0.04578342678173143,0.037532532325216056
Bellevue-South,2000,Prevalence of 4+-person household among renters,0.05465149637597618,0.060242884124538855,0.04954401803024566
Bellevue-West,2000,Prevalence of 4+-person household among renters,0.026385367767857767,0.029195251125769636,0.023845229177640176
Black Diamond/Enumclaw/SE County,2000,Prevalence of 4+-person household among renters,0.05767172066251389,0.06357662134257756,0.052284758021733276
Bothell/Woodinville,2000,Prevalence of 4+-person household among renters,0.036690602874040766,0.04055743928412058,0.03318151820626744
Burien,2000,Prevalence of 4+-person household among renters,0.0535010814537652,0.05901445049224102,0.04847154531821903
Capitol Hill/E.lake,2000,Prevalence of 4+-person household among renters,0.0076416965065380675,0.008475811010626048,0.006891688582410308
Central Seattle,2000,Prevalence of 4+-person household among renters,0.029891201649600904,0.033058601065431036,0.02701463713700538
Covington/Maple Valley,2000,Prevalence of 4+-person household among renters,0.07261749872339972,0.07988363267907232,0.06595499238178479
Delridge,2000,Prevalence of 4+-person household among renters,0.05303814141720148,0.05851228955676822,0.04804432349830258
Des Moines/Normandy Park,2000,Prevalence of 4+-person household among renters,0.04657908403997391,0.0514231509541004,0.04217419318069071
Downtown,2000,Prevalence of 4+-person household among renters,0.004246887049018174,0.004715005766409392,0.0038277237065244105
East Federal Way,2000,Prevalence of 4+-person household among renters,0.06518197392197343,0.0717845491241939,0.05914369225053256
Fairwood,2000,Prevalence of 4+-person household among renters,0.05299455076234572,0.0584477153600693,0.04802446862822926
Fed Way-Central/Military Rd,2000,Prevalence of 4+-person household among renters,0.052750202380473885,0.05820999351134029,0.04777883131954246
Fed Way-Dash Point/Woodmont,2000,Prevalence of 4+-person household among renters,0.06262794944492386,0.06900279000652809,0.05680302655930661
Fremont/Greenlake,2000,Prevalence of 4+-person household among renters,0.017870247881396843,0.01978841566250061,0.01613476691910202
Issaquah,2000,Prevalence of 4+-person household among renters,0.028051732686516208,0.031035212698111096,0.025354270311118737
Kenmore/LFP,2000,Prevalence of 4+-person household among renters,0.03979628864740871,0.04395646335778347,0.03601326594946964
Kent-East,2000,Prevalence of 4+-person household among renters,0.0687985906738474,0.0757387217157979,0.06244534139946526
Kent-SE,2000,Prevalence of 4+-person household among renters,0.0568914186156106,0.0627177235209087,0.05157779153291134
Kent-West,2000,Prevalence of 4+-person household among renters,0.05217829571389216,0.0575481815628534,0.0472868570237637
Kirkland,2000,Prevalence of 4+-person household among renters,0.026491560047041146,0.029309024502624344,0.023941750401527847
Kirkland North,2000,Prevalence of 4+-person household among renters,0.04321985300382488,0.047717724196396784,0.03912423804257995
Mercer Isle/Pt Cities,2000,Prevalence of 4+-person household among renters,0.035185220783655234,0.038894659287747414,0.03181864069786644
NE Seattle,2000,Prevalence of 4+-person household among renters,0.028203873776796316,0.03120008625837056,0.025483881396433872
Newcastle/Four Creeks,2000,Prevalence of 4+-person household among renters,0.04564871560716864,0.05037633718776656,0.04134513512918642
North Highline,2000,Prevalence of 4+-person household among renters,0.05922658117166701,0.06527643175507193,0.05369724953966372
North Seattle,2000,Prevalence of 4+-person household among renters,0.025686861769433203,0.02842035391053617,0.023211549213315467
NW Seattle,2000,Prevalence of 4+-person household among renters,0.023423468253721463,0.02592770070402687,0.021155739751280787
QA/Magnolia,2000,Prevalence of 4+-person household among renters,0.009830472266752611,0.010899059940617906,0.008866519010652992
Redmond,2000,Prevalence of 4+-person household among renters,0.03051445306514903,0.033748176934765686,0.027585914362369807
Renton-East,2000,Prevalence of 4+-person household among renters,0.043406363097554045,0.047932843355286206,0.03929112967467163
Renton-North,2000,Prevalence of 4+-person household among renters,0.03542242558432529,0.03915601697672232,0.032035792745879206
Renton-South,2000,Prevalence of 4+-person household among renters,0.04979430137073122,0.054931827540881,0.04511513689162672
