GEOID,Year,variable,mean,up,low
Auburn-North,2000,Prevalence of 4-person household,0.03031346499231836,0.03340135651429916,0.02750220429712447
Auburn-South,2000,Prevalence of 4-person household,0.022639251667625388,0.02497318539235024,0.020521739366886192
Ballard,2000,Prevalence of 4-person household,0.024043124499702546,0.026515960348258406,0.021794080744456084
Beacon/Gtown/S.Park,2000,Prevalence of 4-person household,0.02025455888126836,0.022338972874221836,0.0183618653040151
Bear Creek/Carnation/Duvall,2000,Prevalence of 4-person household,0.024896092126879914,0.027447785056863426,0.02257364256303198
Bellevue-Central,2000,Prevalence of 4-person household,0.0332850383140164,0.0366709830827059,0.030198695912638185
Bellevue-NE,2000,Prevalence of 4-person household,0.025249073525471538,0.027832994113859602,0.02290033067701614
Bellevue-South,2000,Prevalence of 4-person household,0.04243531088202175,0.04669445767262513,0.03853972999585591
Bellevue-West,2000,Prevalence of 4-person household,0.01895132809065952,0.02091297038582822,0.01717562984807691
Black Diamond/Enumclaw/SE County,2000,Prevalence of 4-person household,0.026668640444057517,0.029399238522503274,0.024187050563068947
Bothell/Woodinville,2000,Prevalence of 4-person household,0.007956250445074408,0.0087938740988791,0.007201102492152569
Burien,2000,Prevalence of 4-person household,0.03378922359669261,0.03721945357018182,0.03066048149561806
Capitol Hill/E.lake,2000,Prevalence of 4-person household,0.018570591388003713,0.020488185854000487,0.016830486034618244
Central Seattle,2000,Prevalence of 4-person household,0.019839299993490614,0.021888584128783434,0.01797797145371278
Covington/Maple Valley,2000,Prevalence of 4-person household,0.031418367332242333,0.03460916756895042,0.02851280767144883
Delridge,2000,Prevalence of 4-person household,0.017327886792373893,0.019126898987047263,0.015697700253443286
Des Moines/Normandy Park,2000,Prevalence of 4-person household,0.038423607058752716,0.04230280979028021,0.034881977042665546
Downtown,2000,Prevalence of 4-person household,0.019139935436326264,0.021117868407222858,0.01734466455444739
East Federal Way,2000,Prevalence of 4-person household,0.027907702584352493,0.030756501094540246,0.025317774218493773
Fairwood,2000,Prevalence of 4-person household,0.04269284635791375,0.0469761954271505,0.03877641865283416
Fed Way-Central/Military Rd,2000,Prevalence of 4-person household,0.04076720480921834,0.04488921398348479,0.03700444514259162
Fed Way-Dash Point/Woodmont,2000,Prevalence of 4-person household,0.03732120124137117,0.04109325757336546,0.03388001965939863
Fremont/Greenlake,2000,Prevalence of 4-person household,0.02344947199900356,0.025853780753750315,0.02126175542896533
Issaquah,2000,Prevalence of 4-person household,0.03316870153867811,0.03653298853278112,0.030102258675456135
Kenmore/LFP,2000,Prevalence of 4-person household,0.012851752054052923,0.014190279874934984,0.011639322563151606
Kent-East,2000,Prevalence of 4-person household,0.03877370053479463,0.04268275886299941,0.03520476572337431
Kent-SE,2000,Prevalence of 4-person household,0.03755051530797274,0.041337533716882764,0.034093053266874236
Kent-West,2000,Prevalence of 4-person household,0.031816505064806884,0.03504362977177117,0.028877373572979523
Kirkland,2000,Prevalence of 4-person household,0.022400415165377906,0.024700867084492453,0.02031016369515365
Kirkland North,2000,Prevalence of 4-person household,0.013569605744938547,0.014979200923538421,0.01229366397978429
Mercer Isle/Pt Cities,2000,Prevalence of 4-person household,0.04039239255302785,0.04446532685372124,0.03666737446825972
NE Seattle,2000,Prevalence of 4-person household,0.020669139669761936,0.022801110928205425,0.018732538998922712
Newcastle/Four Creeks,2000,Prevalence of 4-person household,0.03375021151507213,0.03716368823892072,0.030637788998093732
North Highline,2000,Prevalence of 4-person household,0.04101547335493432,0.04514453733698229,0.03723752621197736
North Seattle,2000,Prevalence of 4-person household,0.021768902250106463,0.024005126176605964,0.019734030464697874
NW Seattle,2000,Prevalence of 4-person household,0.022719784402268576,0.02505625166113893,0.020594254462341744
QA/Magnolia,2000,Prevalence of 4-person household,0.023764193834740332,0.026204696045416885,0.02154402298806406
Redmond,2000,Prevalence of 4-person household,0.02397704934402836,0.02643701972713966,0.021740291545135872
Renton-East,2000,Prevalence of 4-person household,0.03055384057459788,0.03367005674486405,0.027718396190397107
Renton-North,2000,Prevalence of 4-person household,0.034115610491922875,0.03757221660997677,0.030963424757608278
Renton-South,2000,Prevalence of 4-person household,0.037255958457345514,0.04100985466410214,0.03382746062262174
Sammamish,2000,Prevalence of 4-person household,0.036072439386720494,0.03971910890169195,0.03274243064233312
SE Seattle,2000,Prevalence of 4-person household,0.008532249754121632,0.009434655458703426,0.007721341868099109
SeaTac/Tukwila,2000,Prevalence of 4-person household,0.034543425107818625,0.03803717650736164,0.03135422577159038
Shoreline,2000,Prevalence of 4-person household,0.012690919079686102,0.014015013206534269,0.011492658088127303
Snoqualmie/North Bend/Skykomish,2000,Prevalence of 4-person household,0.037152436179975185,0.04089343049381442,0.03373563386921088
Vashon Island,2000,Prevalence of 4-person household,0.030412311093100004,0.03348499826388502,0.027611733709713957
